OriginLat,OriginLon,AccessLat,AccessLon,People
39.4252428625833,-105.074734186697,39.4262542724609,-105.074996948242,1
39.4252797806,-105.074294595587,39.4262542724609,-105.074996948242,5
39.4252478923932,-105.074322148162,39.4262542724609,-105.074996948242,2
39.4255869065006,-105.07366121971,39.4254493713379,-105.073631286621,4
39.4269458805641,-105.076228203884,39.4266014099121,-105.075950622559,3
39.426157233358,-105.07560380458,39.4266014099121,-105.075950622559,1
39.4269118721459,-105.075232642022,39.426342010498,-105.074745178223,1
39.42662930263,-105.074340320624,39.426342010498,-105.074745178223,3
39.4262668237543,-105.073485030607,39.4267578125,-105.074012756348,2
39.4264253949418,-105.07226838581,39.4264183044434,-105.072463989258,1
39.4264488122111,-105.072882010155,39.4264183044434,-105.072463989258,2
39.4263330099003,-105.072352920875,39.4264183044434,-105.072463989258,3
39.4270866777799,-105.076166907463,39.427547454834,-105.075866699219,1
39.4277857993704,-105.07559014124,39.427547454834,-105.075866699219,1
39.4273954016833,-105.075437627219,39.4272842407227,-105.07536315918,1
39.4273953051221,-105.074561945269,39.4272842407227,-105.07536315918,1
39.4277110630446,-105.073449841474,39.4274520874023,-105.073791503906,2
39.4286615316308,-105.076380862653,39.4283218383789,-105.076011657715,2
39.4286818836566,-105.075150572061,39.4283752441406,-105.074851989746,2
39.4285961303371,-105.073839180881,39.4283676147461,-105.073638916016,2
39.4285297583032,-105.074200463286,39.4283676147461,-105.073638916016,4
39.4292567725677,-105.076739601002,39.429386138916,-105.076805114746,1
39.4288322519772,-105.076949663346,39.429386138916,-105.076805114746,1
39.4290468503388,-105.077103914345,39.429386138916,-105.076805114746,1
39.4291281986656,-105.076824320292,39.429386138916,-105.076805114746,2
39.4291121410985,-105.077067804088,39.429386138916,-105.076805114746,1
39.4294537604237,-105.07668640828,39.429386138916,-105.076805114746,1
39.4292666689825,-105.077241975491,39.429386138916,-105.076805114746,1
39.4296030869607,-105.075046140716,39.4295845031738,-105.075340270996,1
39.4291314545617,-105.074965669563,39.4295845031738,-105.075340270996,2
39.4292732942605,-105.074601702738,39.4295845031738,-105.075340270996,1
39.4289401881918,-105.073339593889,39.4292602539063,-105.073738098145,5
39.4292375556979,-105.074262860669,39.4292602539063,-105.073738098145,1
39.4302693487633,-105.077516825754,39.4301223754883,-105.076950073242,4
39.4304290339536,-105.074820153891,39.4302215576172,-105.07502746582,2
39.4298077120759,-105.073507012575,39.4299964904785,-105.073844909668,2
39.4312584624136,-105.076015777321,39.4308471679688,-105.075836181641,2
39.4309852747877,-105.076103448594,39.4308471679688,-105.075836181641,1
39.4311353399996,-105.076548285726,39.4308471679688,-105.075836181641,1
39.4314571385688,-105.074630053621,39.4307556152344,-105.075256347656,1
39.4307546590869,-105.074388627002,39.4307556152344,-105.075256347656,5
39.4316250299384,-105.075824942345,39.431884765625,-105.076095581055,4
39.4330357710262,-105.076947299128,39.4328422546387,-105.077125549316,2
39.4339919448614,-105.077625233285,39.4336357116699,-105.077407836914,4
39.4343099596407,-105.078048627964,39.435230255127,-105.078330993652,4
39.4349678273365,-105.07694282729,39.434627532959,-105.07723236084,2
39.4342145377429,-105.076943934832,39.434627532959,-105.07723236084,2
39.4348139964225,-105.077713549345,39.434627532959,-105.07723236084,2
39.4359399239399,-105.080226399934,39.4356384277344,-105.079978942871,2
39.4352418496677,-105.079769851368,39.4358253479004,-105.079887390137,1
39.4351426889847,-105.078935122156,39.4358253479004,-105.079887390137,1
39.4353502163577,-105.07791527771,39.4354858398438,-105.078460693359,2
39.4358483306848,-105.076969765783,39.4355010986328,-105.077293395996,3
39.4368313655967,-105.07974306201,39.4361381530762,-105.079360961914,2
39.4360408772716,-105.07830768095,39.4363098144531,-105.078216552734,2
39.436866847884,-105.077036878444,39.4362449645996,-105.077613830566,3
39.4372936739255,-105.080438758509,39.4375228881836,-105.080764770508,2
39.4377573460867,-105.081194845658,39.4375228881836,-105.080764770508,1
39.4376402312372,-105.080170691666,39.4375228881836,-105.080764770508,1
39.437043388425,-105.078012592275,39.4373092651367,-105.078399658203,3
39.4370053925941,-105.077918306453,39.4373092651367,-105.078399658203,1
39.4384114294853,-105.081104160993,39.4380187988281,-105.080436706543,3
39.438561177208,-105.081169554222,39.4380187988281,-105.080436706543,1
39.4378136583012,-105.079278188237,39.438362121582,-105.07999420166,5
39.4382927794662,-105.080045118331,39.438362121582,-105.07999420166,1
39.4382250701035,-105.078182607653,39.4381828308105,-105.078666687012,4
39.4388947166183,-105.083199990204,39.4393348693848,-105.082313537598,4
39.4390007740925,-105.081439311986,39.4392242431641,-105.081832885742,2
39.4391296532864,-105.080681759812,39.4393310546875,-105.08048248291,2
39.4390680575642,-105.078995951435,39.4391670227051,-105.079238891602,1
39.4395332202812,-105.078949360102,39.4391670227051,-105.079238891602,3
39.4393880816897,-105.078425398413,39.4388465881348,-105.079063415527,1
39.4395246091962,-105.077824375923,39.4388465881348,-105.079063415527,1
39.4400599476913,-105.081339637589,39.4400444030762,-105.081977844238,3
39.4404315856948,-105.080833661944,39.4397659301758,-105.080474853516,1
