Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Node 5, Node 5 flow
0,19,0,19,0, 52.53397,52.53397,0,0
1,0,0,19,0, 52.53397,52.53397,0,0
2,0,0,19,0, 52.53397,52.53397,0,0
3,0,0,19,0, 52.53397,52.53397,0,0
4,0,0,19,0, 52.53397,52.53397,0,0
5,0,0,19,0, 52.53397,52.53397,0,0
6,0,0,19,0, 52.53397,52.53397,0,0
7,0,0,19,0, 52.53397,52.53397,0,0
8,0,0,19,0, 52.53397,52.53397,0,0
9,0,0,19,0, 52.53397,52.53397,0,0
10,0,0,19,0, 52.53397,52.53397,0,0
11,0,0,19,0, 52.53397,52.53397,0,0
12,0,0,19,0, 52.53397,52.53397,0,0
13,0,0,19,0, 52.53397,52.53397,0,0
14,0,0,19,0, 52.53397,52.53397,0,0
15,0,0,19,0, 52.53397,52.53397,0,0
16,0,0,19,0, 52.53397,52.53397,0,0
17,0,0,19,0, 52.53397,52.53397,0,0
18,0,0,19,0, 52.53397,52.53397,0,0
19,0,0,19,0, 52.53397,52.53397,0,0
20,0,0,19,0, 52.53397,52.53397,0,0
21,0,0,19,0, 52.53397,52.53397,0,0
22,0,0,19,0, 52.53397,52.53397,0,0
23,0,0,19,0, 52.53397,52.53397,0,0
24,0,0,19,0, 52.53397,52.53397,0,0
25,0,0,19,0, 52.53397,52.53397,0,0
26,0,0,19,0, 52.53397,52.53397,0,0
27,0,0,19,0, 52.53397,52.53397,0,0
28,0,0,19,0, 52.53397,52.53397,0,0
29,0,0,19,0, 52.53397,52.53397,0,0
30,0,0,19,0, 52.53397,52.53397,0,0
31,0,0,19,0, 52.53397,52.53397,0,0
32,0,0,19,0, 52.53397,52.53397,0,0
33,0,0,19,0, 52.53397,52.53397,0,0
34,0,0,19,0, 52.53397,52.53397,0,0
35,0,0,19,0, 52.53397,52.53397,0,0
36,0,0,19,0, 52.53397,52.53397,0,0
37,0,0,19,0, 52.53397,52.53397,0,0
38,0,0,19,0, 52.53397,52.53397,0,0
39,0,0,19,0, 52.53397,52.53397,0,0
40,0,0,19,0, 52.53397,52.53397,0,0
41,0,0,19,0, 52.53397,52.53397,0,0
42,0,0,19,0, 52.53397,52.53397,0,0
43,0,0,19,0, 52.53397,52.53397,0,0
44,0,0,19,0, 52.53397,52.53397,0,0
45,0,0,19,0, 52.53397,52.53397,0,0
46,0,0,19,0, 52.53397,52.53397,0,0
47,0,0,19,0, 52.53397,52.53397,0,0
48,0,0,19,0, 52.53397,52.53397,0,0
49,0,0,19,0, 52.53397,52.53397,0,0
50,0,0,19,0, 52.53397,52.53397,0,0
51,0,0,19,0, 52.53397,52.53397,0,0
52,0,0,19,0, 52.53397,52.53397,0,0
53,0,0,19,0, 52.53397,52.53397,0,0
54,0,0,19,0, 52.53397,52.53397,0,0
55,0,0,19,0, 52.53397,52.53397,0,0
56,0,0,19,0, 52.53397,52.53397,0,0
57,0,0,19,0, 52.53397,52.53397,0,0
58,0,0,19,0, 52.53397,52.53397,0,0
59,0,0,19,0, 52.53397,52.53397,0,0
60,0,0,19,0, 52.53397,52.53397,0,0
61,0,0,19,0, 52.53397,52.53397,0,0
62,0,0,19,0, 52.53397,52.53397,0,0
63,0,0,19,0, 52.53397,52.53397,0,0
64,0,0,19,0, 52.53397,52.53397,0,0
65,0,0,19,0, 52.53397,52.53397,0,0
66,0,0,19,0, 52.53397,52.53397,0,0
67,0,0,19,0, 52.53397,52.53397,0,0
68,0,1,19,1, 52.53397,52.53397,1,3600
69,0,0,18,0, 53.45324,53.45324,1,3600
70,0,1,18,1, 53.45324,53.45324,2,3600
71,0,1,17,1, 54.3725,54.3725,3,3600
72,0,1,16,1, 55.29177,55.29177,4,3600
73,0,1,15,1, 56.21103,56.21103,5,3600
74,0,1,14,1, 57.13029,57.13029,6,3600
75,0,1,13,1, 58.04956,58.04956,7,3600
76,0,1,12,1, 58.96883,58.96883,8,3600
77,0,1,11,1, 59.88809,59.88809,9,3600
78,0,1,10,1, 60.80735,60.80735,10,3600
79,0,1,9,1, 61.72662,61.72662,11,3600
80,0,1,8,1, 62.64588,62.64588,12,3600
81,0,1,7,1, 63.56515,63.56515,13,3600
82,0,1,6,1, 64.48441,64.48441,14,3600
83,0,1,5,1, 65.40368,65.40368,15,3600
84,0,1,4,1, 66.32294,66.32294,16,3600
85,0,1,3,1, 67.2422,67.2422,17,3600
86,0,1,2,1, 68.16147,68.16147,18,3600
87,0,1,1,1, 69.08073,69.08073,19,3410.526
