Time(s),Households left,People left,Households starting moving,People started moving,Households reached car,People reached car,Total cars activated,Avg. walking dist.
0,1014,4017,0,0,0,0,0,0
1,1014,4017,6,24,0,0,0,0
2,1014,4017,3,12,0,0,0,0
3,1014,4017,2,8,0,0,0,0
4,1014,4017,3,12,0,0,0,0
5,1014,4017,2,8,0,0,0,0
6,1014,4017,4,15,0,0,0,0
7,1014,4017,3,11,0,0,0,0
8,1014,4017,1,4,0,0,0,0
9,1014,4017,4,16,0,0,0,0
10,1014,4017,1,4,0,0,0,0
11,1014,4017,5,20,0,0,0,0
12,1014,4017,4,16,0,0,0,0
13,1014,4017,2,8,0,0,0,0
14,1014,4017,1,4,0,0,0,0
15,1014,4017,4,16,0,0,0,0
16,1014,4017,2,8,0,0,0,0
17,1014,4017,4,16,0,0,0,0
18,1014,4017,2,8,0,0,0,0
19,1014,4017,0,0,0,0,0,0
20,1014,4017,2,8,0,0,0,0
21,1014,4017,1,4,0,0,0,0
22,1014,4017,2,8,0,0,0,0
23,1014,4017,5,20,0,0,0,0
24,1014,4017,2,8,0,0,0,0
25,1014,4017,4,16,0,0,0,0
26,1014,4017,1,4,0,0,0,0
27,1014,4017,2,8,0,0,0,0
28,1014,4017,1,4,0,0,0,0
29,1014,4017,7,28,0,0,0,0
30,1014,4017,1,4,0,0,0,0
31,1014,4017,3,12,0,0,0,0
32,1014,4017,4,16,0,0,0,0
33,1014,4017,0,0,0,0,0,0
34,1014,4017,2,8,0,0,0,0
35,1013,4013,5,20,1,4,4,0
36,1011,4005,1,4,2,8,12,34.09086
37,1011,4005,3,12,0,0,12,34.30717
38,1011,4005,8,32,0,0,12,34.30717
39,1010,4001,3,12,1,4,16,34.30717
40,1008,3993,3,12,2,8,24,34.25302
41,1007,3990,1,4,1,3,27,35.34451
42,1005,3982,6,24,2,8,35,35.34871
43,1004,3978,0,0,1,4,39,35.58318
44,1001,3966,1,4,3,12,51,36.16863
45,1001,3966,5,20,0,0,51,36.06942
46,1001,3966,3,12,0,0,51,36.06942
47,1001,3966,4,16,0,0,51,36.06942
48,1000,3962,5,20,1,4,55,36.06942
49,999,3958,4,16,1,4,59,36.11814
50,997,3950,3,12,2,8,67,36.7019
51,996,3946,5,19,1,4,71,36.4576
52,996,3946,2,8,0,0,71,36.76281
53,994,3938,5,20,2,8,79,36.76281
54,994,3938,5,20,0,0,79,36.92906
55,993,3935,5,20,1,3,82,36.92906
56,993,3935,5,20,0,0,82,37.43361
57,991,3927,3,12,2,8,90,37.43361
58,989,3919,2,8,2,8,98,37.373
59,989,3919,6,23,0,0,98,37.98552
60,986,3907,2,8,3,12,110,37.98552
61,984,3899,1,4,2,8,118,37.88867
62,982,3891,3,10,2,8,126,38.42646
63,981,3887,3,12,1,4,130,39.06804
64,976,3867,2,8,5,20,150,39.11911
65,975,3863,7,28,1,4,154,39.82238
66,973,3855,2,8,2,8,162,39.72314
67,971,3847,3,12,2,8,170,39.52977
68,971,3847,6,23,0,0,170,40.14938
69,969,3839,1,4,2,8,178,40.14938
70,969,3839,2,8,0,0,178,40.48609
71,967,3831,5,19,2,8,186,40.48609
72,964,3819,0,0,3,12,198,40.50937
73,962,3811,4,16,2,8,206,40.59757
74,962,3811,4,16,0,0,206,41.06219
75,960,3803,6,23,2,8,214,41.06219
76,959,3799,4,16,1,4,218,41.0779
77,957,3791,0,0,2,8,226,41.02439
78,955,3783,1,4,2,8,234,40.84837
79,955,3783,2,8,0,0,234,41.40426
80,953,3775,4,16,2,8,242,41.40426
81,950,3763,2,8,3,12,254,41.53551
82,947,3751,1,4,3,12,266,42.00225
83,944,3739,2,8,3,12,278,42.16452
84,939,3719,5,20,5,20,298,42.0143
85,934,3699,1,4,5,20,318,42.30905
86,933,3695,3,12,1,4,322,42.56627
87,932,3691,1,4,1,4,326,42.81627
88,928,3675,5,20,4,16,342,42.75574
89,925,3663,6,24,3,12,354,43.02538
90,922,3651,4,16,3,12,366,43.73372
91,920,3643,6,23,2,8,374,43.70121
92,915,3623,5,20,5,20,394,44.41714
93,911,3607,3,12,4,16,410,44.27075
94,909,3599,3,12,2,8,418,44.78396
95,908,3595,3,12,1,4,422,44.91753
96,908,3595,6,24,0,0,422,45.35566
97,904,3579,3,11,4,16,438,45.35566
98,900,3563,0,0,4,16,454,45.73249
99,897,3551,2,8,3,12,466,45.52124
100,893,3535,3,12,4,16,482,45.97898
101,889,3519,2,8,4,16,498,45.91175
102,887,3512,0,0,2,7,505,46.08961
103,885,3504,4,16,2,8,513,46.04665
104,880,3484,4,16,5,20,533,46.30835
105,876,3468,6,24,4,16,549,46.70488
106,873,3456,3,12,3,12,561,47.48902
107,871,3448,1,4,2,8,569,47.91501
