Time(s),Households left,People left,Households starting moving,People started moving,Households reached car,People reached car,Total cars activated,Avg. walking dist.
0,354,1014,0,0,0,0,0,0
1,354,1014,0,0,0,0,0,0
2,354,1014,0,0,0,0,0,0
3,354,1014,1,4,0,0,0,0
4,354,1014,0,0,0,0,0,0
5,354,1014,1,3,0,0,0,0
6,354,1014,0,0,0,0,0,0
7,354,1014,0,0,0,0,0,0
8,354,1014,1,2,0,0,0,0
9,354,1014,2,8,0,0,0,0
10,354,1014,0,0,0,0,0,0
11,354,1014,1,4,0,0,0,0
12,354,1014,0,0,0,0,0,0
13,354,1014,2,9,0,0,0,0
14,354,1014,2,6,0,0,0,0
15,354,1014,4,14,0,0,0,0
16,354,1014,0,0,0,0,0,0
17,354,1014,2,6,0,0,0,0
18,354,1014,0,0,0,0,0,0
19,354,1014,0,0,0,0,0,0
20,354,1014,0,0,0,0,0,0
21,354,1014,1,1,0,0,0,0
22,354,1014,1,5,0,0,0,0
23,354,1014,0,0,0,0,0,0
24,354,1014,1,2,0,0,0,0
25,354,1014,1,3,0,0,0,0
26,354,1014,0,0,0,0,0,0
27,354,1014,0,0,0,0,0,0
28,354,1014,0,0,0,0,0,0
29,354,1014,1,1,0,0,0,0
30,354,1014,1,3,0,0,0,0
31,354,1014,0,0,0,0,0,0
32,354,1014,0,0,0,0,0,0
33,354,1014,1,3,0,0,0,0
34,354,1014,1,2,0,0,0,0
35,354,1014,0,0,0,0,0,0
36,354,1014,0,0,0,0,0,0
37,354,1014,0,0,0,0,0,0
38,354,1014,1,4,0,0,0,0
39,354,1014,0,0,0,0,0,0
40,353,1010,1,2,1,4,2,0
41,352,1007,2,8,1,3,4,36.1693
42,352,1007,1,1,0,0,4,35.87453
43,352,1007,0,0,0,0,4,35.87453
44,351,1004,0,0,1,3,5,35.87453
45,351,1004,0,0,0,0,5,35.53651
46,350,1000,1,3,1,4,7,35.53651
47,350,1000,2,5,0,0,7,35.4061
48,350,1000,0,0,0,0,7,35.4061
49,349,995,1,2,1,5,8,35.4061
50,349,995,3,9,0,0,8,35.13507
51,349,995,1,3,0,0,8,35.13507
52,349,995,2,5,0,0,8,35.13507
53,347,988,0,0,2,7,11,35.13507
54,346,983,1,4,1,5,12,37.76614
55,345,982,0,0,1,1,13,37.96081
56,345,982,1,2,0,0,13,37.5243
57,344,979,1,3,1,3,14,37.5243
58,344,979,1,3,0,0,14,37.76243
59,344,979,1,4,0,0,14,37.76243
60,344,979,0,0,0,0,14,37.76243
61,343,977,0,0,1,2,15,37.76243
62,342,973,0,0,1,4,16,38.56931
63,342,973,1,3,0,0,16,39.41306
64,342,973,0,0,0,0,16,39.41306
65,342,973,2,9,0,0,16,39.41306
66,342,973,0,0,0,0,16,39.41306
67,341,968,0,0,1,5,17,39.41306
68,340,966,1,1,1,2,18,39.81126
69,340,966,2,6,0,0,18,39.43033
70,340,966,1,5,0,0,18,39.43033
71,339,963,0,0,1,3,19,39.43033
72,339,963,1,2,0,0,19,39.2769
73,339,963,1,3,0,0,19,39.2769
74,339,963,1,2,0,0,19,39.2769
75,339,963,0,0,0,0,19,39.2769
76,339,963,0,0,0,0,19,39.2769
77,338,959,1,1,1,4,21,39.2769
78,337,954,1,4,1,5,22,40.80468
79,337,954,0,0,0,0,22,40.53458
80,337,954,1,5,0,0,22,40.53458
81,337,954,1,1,0,0,22,40.53458
82,337,954,1,4,0,0,22,40.53458
83,337,954,1,4,0,0,22,40.53458
84,336,952,1,1,1,2,24,40.53458
85,335,949,2,9,1,3,25,40.21913
86,335,949,0,0,0,0,25,41.02363
87,335,949,4,11,0,0,25,41.02363
88,335,949,0,0,0,0,25,41.02363
89,334,946,0,0,1,3,26,41.02363
90,333,944,0,0,1,2,28,40.90091
91,330,938,0,0,3,6,32,40.84517
92,330,938,2,3,0,0,32,43.70124
93,329,936,0,0,1,2,34,43.70124
94,326,925,1,2,3,11,38,45.11217
95,324,919,0,0,2,6,40,44.54383
96,324,919,0,0,0,0,40,45.80833
97,324,919,1,2,0,0,40,45.80833
98,323,917,1,2,1,2,41,45.80833
99,323,917,1,5,0,0,41,46.69552
100,322,915,0,0,1,2,42,46.69552
101,321,914,0,0,1,1,43,47.12128
102,321,914,2,3,0,0,43,47.19265
103,321,914,1,4,0,0,43,47.19265
104,320,913,0,0,1,1,44,47.19265
105,320,913,0,0,0,0,44,46.84718
106,320,913,1,5,0,0,44,46.84718
107,320,913,0,0,0,0,44,46.84718
108,319,910,0,0,1,3,45,46.84718
109,319,910,0,0,0,0,45,47.15063
110,316,899,1,2,3,11,50,47.15063
111,314,894,0,0,2,5,52,48.76336
112,312,887,0,0,2,7,55,48.24075
113,311,883,1,1,1,4,57,48.59733
114,310,879,3,6,1,4,58,48.28565
115,310,879,1,1,0,0,58,48.21387
116,309,878,1,2,1,1,59,48.21387
117,307,873,0,0,2,5,61,48.01628
118,306,868,2,9,1,5,62,49.53327
119,306,868,0,0,0,0,62,49.30077
120,306,868,0,0,0,0,62,49.30077
121,306,868,2,4,0,0,62,49.30077
122,306,868,0,0,0,0,62,49.30077
123,305,866,1,1,1,2,63,49.30077
124,304,862,0,0,1,4,65,49.30312
125,304,862,1,1,0,0,65,49.05718
126,304,862,2,5,0,0,65,49.05718
127,303,860,0,0,1,2,67,49.05718
128,303,860,2,5,0,0,67,49.67283
129,303,860,1,4,0,0,67,49.67283
130,301,854,2,8,2,6,70,49.67283
131,300,850,0,0,1,4,72,49.78067
132,300,850,0,0,0,0,72,49.712
133,300,850,0,0,0,0,72,49.712
134,300,850,0,0,0,0,72,49.712
135,299,848,0,0,1,2,73,49.712
136,298,845,0,0,1,3,75,49.68375
137,298,845,1,2,0,0,75,50.4859
138,297,841,1,2,1,4,76,50.4859
139,297,841,0,0,0,0,76,51.14041
140,297,841,0,0,0,0,76,51.14041
141,297,841,3,5,0,0,76,51.14041
142,296,836,1,1,1,5,77,51.14041
143,295,833,1,4,1,3,79,50.87321
144,295,833,1,4,0,0,79,51.37988
145,294,829,0,0,1,4,80,51.37988
146,294,829,1,2,0,0,80,51.23669
147,292,825,2,4,2,4,83,51.23669
148,292,825,0,0,0,0,83,51.57352
149,292,825,0,0,0,0,83,51.57352
150,292,825,1,2,0,0,83,51.57352
151,291,824,1,4,1,1,84,51.57352
152,291,824,0,0,0,0,84,51.52732
153,291,824,1,1,0,0,84,51.52732
154,291,824,0,0,0,0,84,51.52732
155,291,824,0,0,0,0,84,51.52732
156,290,821,4,6,1,3,85,51.52732
157,288,818,0,0,2,3,87,51.79345
158,286,809,0,0,2,9,90,51.38665
159,286,809,2,6,0,0,90,51.84344
160,286,809,0,0,0,0,90,51.84344
161,285,807,1,5,1,2,92,51.84344
162,285,807,0,0,0,0,92,51.73465
163,285,807,0,0,0,0,92,51.73465
164,284,805,1,2,1,2,94,51.73465
165,283,803,2,7,1,2,95,51.93258
166,283,803,0,0,0,0,95,52.30095
167,282,800,0,0,1,3,96,52.30095
168,281,799,1,5,1,1,97,53.08269
169,280,796,0,0,1,3,98,53.08257
170,280,796,0,0,0,0,98,52.89249
171,280,796,0,0,0,0,98,52.89249
172,280,796,2,4,0,0,98,52.89249
173,279,795,1,1,1,1,99,52.89249
174,278,791,1,1,1,4,100,53.26699
175,278,791,1,1,0,0,100,53.76226
176,277,788,1,2,1,3,101,53.76226
177,276,786,0,0,1,2,102,53.71444
178,274,781,1,4,2,5,104,53.53142
179,271,774,0,0,3,7,108,53.40149
180,271,774,1,1,0,0,108,52.9681
181,269,765,0,0,2,9,112,52.9681
182,269,765,0,0,0,0,112,54.01132
183,269,765,1,3,0,0,112,54.01132
184,269,765,1,1,0,0,112,54.01132
185,269,765,1,3,0,0,112,54.01132
186,269,765,0,0,0,0,112,54.01132
187,267,762,1,3,2,3,114,54.01132
188,264,757,0,0,3,5,117,54.32885
189,263,754,1,2,1,3,118,55.32494
190,262,749,1,1,1,5,119,55.54428
191,261,747,0,0,1,2,120,55.93403
192,261,747,0,0,0,0,120,55.81579
193,260,742,1,1,1,5,121,55.81579
194,259,740,1,5,1,2,122,55.58411
195,259,740,2,6,0,0,122,55.88667
196,259,740,0,0,0,0,122,55.88667
197,258,738,0,0,1,2,123,55.88667
198,258,738,0,0,0,0,123,56.39333
199,258,738,2,8,0,0,123,56.39333
200,255,733,0,0,3,5,126,56.39333
201,254,730,0,0,1,3,127,55.96856
202,254,730,0,0,0,0,127,56.21066
203,252,725,0,0,2,5,129,56.21066
204,251,720,0,0,1,5,130,55.9251
205,249,717,0,0,2,3,132,55.73158
206,245,706,0,0,4,11,136,55.92999
207,245,706,0,0,0,0,136,55.66433
208,244,701,0,0,1,5,138,55.66433
209,244,701,0,0,0,0,138,55.86058
210,243,700,0,0,1,1,139,55.86058
211,243,700,0,0,0,0,139,55.9743
212,243,700,2,3,0,0,139,55.9743
213,243,700,0,0,0,0,139,55.9743
214,239,688,2,7,4,12,143,55.9743
215,238,684,0,0,1,4,144,56.38676
216,238,684,0,0,0,0,144,56.63513
217,237,681,0,0,1,3,145,56.63513
218,236,679,0,0,1,2,146,56.44262
219,236,679,1,2,0,0,146,56.74345
220,236,679,0,0,0,0,146,56.74345
221,235,678,0,0,1,1,147,56.74345
222,235,678,1,1,0,0,147,56.583
223,235,678,2,3,0,0,147,56.583
224,235,678,1,5,0,0,147,56.583
225,234,675,0,0,1,3,148,56.583
226,232,668,1,3,2,7,150,56.81584
227,230,666,1,2,2,2,152,57.07717
228,230,666,1,4,0,0,152,57.3086
229,230,666,0,0,0,0,152,57.3086
230,229,665,1,3,1,1,153,57.3086
231,229,665,0,0,0,0,153,57.51924
232,228,664,0,0,1,1,154,57.51924
233,228,664,0,0,0,0,154,57.37277
234,228,664,0,0,0,0,154,57.37277
235,227,663,1,1,1,1,155,57.37277
236,227,663,4,12,0,0,155,57.53613
237,226,660,0,0,1,3,157,57.53613
238,226,660,2,8,0,0,157,57.71265
239,226,660,1,1,0,0,157,57.71265
240,224,656,1,2,2,4,159,57.71265
241,223,653,0,0,1,3,160,57.64513
242,223,653,2,4,0,0,160,57.611
243,223,653,1,4,0,0,160,57.611
244,223,653,0,0,0,0,160,57.611
245,222,652,0,0,1,1,161,57.611
246,221,650,0,0,1,2,162,57.71923
247,221,650,0,0,0,0,162,58.01162
248,221,650,1,4,0,0,162,58.01162
249,219,643,1,1,2,7,165,58.01162
250,218,642,0,0,1,1,166,57.88218
251,217,640,0,0,1,2,168,58.0121
252,217,640,1,2,0,0,168,57.87152
253,216,635,2,7,1,5,169,57.87152
254,215,633,1,3,1,2,171,57.87182
255,214,632,1,2,1,1,172,57.70703
256,213,631,1,5,1,1,173,57.60403
257,212,630,2,6,1,1,174,57.79257
258,212,630,1,1,0,0,174,57.62519
259,212,630,0,0,0,0,174,57.62519
260,212,630,1,2,0,0,174,57.62519
261,209,621,1,4,3,9,180,57.62519
262,209,621,1,2,0,0,180,57.359
263,209,621,2,3,0,0,180,57.359
264,209,621,1,4,0,0,180,57.359
265,209,621,1,1,0,0,180,57.359
266,209,621,1,4,0,0,180,57.359
267,208,618,1,4,1,3,181,57.359
268,208,618,0,0,0,0,181,57.24745
269,207,615,2,6,1,3,183,57.24745
270,206,612,2,9,1,3,185,57.08901
271,206,612,0,0,0,0,185,56.97342
272,204,603,1,1,2,9,188,56.97342
273,204,603,0,0,0,0,188,56.82285
274,204,603,1,4,0,0,188,56.82285
275,202,599,1,4,2,4,191,56.82285
276,200,590,1,4,2,9,195,57.29179
277,199,589,0,0,1,1,196,57.32478
278,198,585,0,0,1,4,197,57.22834
279,198,585,1,1,0,0,197,57.0834
280,198,585,2,8,0,0,197,57.0834
281,198,585,0,0,0,0,197,57.0834
282,198,585,1,3,0,0,197,57.0834
283,197,584,4,12,1,1,198,57.0834
284,196,583,1,5,1,1,199,57.00396
285,196,583,0,0,0,0,199,57.20958
286,195,581,1,1,1,2,200,57.20958
287,195,581,1,2,0,0,200,57.06374
288,195,581,0,0,0,0,200,57.06374
289,195,581,0,0,0,0,200,57.06374
290,194,580,0,0,1,1,201,57.06374
291,193,575,1,3,1,5,202,57.13107
292,191,570,0,0,2,5,204,56.99676
293,191,570,2,5,0,0,204,56.75404
294,191,570,2,8,0,0,204,56.75404
295,191,570,0,0,0,0,204,56.75404
296,191,570,0,0,0,0,204,56.75404
297,191,570,0,0,0,0,204,56.75404
298,190,566,0,0,1,4,205,56.75404
299,190,566,0,0,0,0,205,56.61652
300,190,566,2,3,0,0,205,56.61652
301,190,566,0,0,0,0,205,56.61652
302,189,564,1,5,1,2,206,56.61652
303,188,563,1,4,1,1,207,56.66838
304,188,563,0,0,0,0,207,56.59505
305,188,563,0,0,0,0,207,56.59505
306,187,562,0,0,1,1,208,56.59505
