Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Node 5, Node 5 flow
0,1,0,1,0, 21.39244,21.39244,4,0.03529412
1,0,0,1,0, 21.39244,21.39244,4,0.03529412
2,0,0,1,0, 21.39244,21.39244,4,0.03529412
3,0,0,1,0, 21.39244,21.39244,4,0.03529412
4,0,0,1,0, 21.39244,21.39244,4,0.03529412
5,0,0,1,0, 21.39244,21.39244,4,0.03529412
6,0,0,1,0, 21.39244,21.39244,4,0.03529412
7,0,0,1,0, 21.39244,21.39244,4,0.03529412
8,0,0,1,0, 21.39244,21.39244,4,0.03529412
9,0,0,1,0, 21.39244,21.39244,4,0.03529412
10,0,0,1,0, 21.39244,21.39244,4,0.03529412
11,0,0,1,0, 21.39244,21.39244,4,0.03529412
12,0,0,1,0, 21.39244,21.39244,4,0.03529412
13,0,0,1,0, 21.39244,21.39244,4,0.03529412
14,0,0,1,0, 21.39244,21.39244,4,0.03529412
15,0,0,1,0, 21.39244,21.39244,4,0.03529412
16,0,0,1,0, 21.39244,21.39244,4,0.03529412
17,0,0,1,0, 21.39244,21.39244,4,0.03529412
18,0,0,1,0, 21.39244,21.39244,4,0.03529412
19,0,0,1,0, 21.39244,21.39244,4,0.03529412
20,0,0,1,0, 21.39244,21.39244,4,0.03529412
21,0,0,1,0, 21.39244,21.39244,4,0.03529412
22,0,0,1,0, 21.39244,21.39244,4,0.03529412
23,0,0,1,0, 21.39244,21.39244,4,0.03529412
24,0,0,1,0, 21.39244,21.39244,4,0.03529412
25,0,0,1,0, 21.39244,21.39244,4,0.03529412
26,0,0,1,0, 21.39244,21.39244,4,0.03529412
27,0,0,1,0, 21.39244,21.39244,4,0.03529412
28,0,0,1,0, 21.39244,21.39244,4,0.03529412
29,0,0,1,0, 21.39244,21.39244,4,0.03529412
30,0,0,1,0, 21.39244,21.39244,4,0.03529412
31,0,0,1,0, 21.39244,21.39244,4,0.03529412
32,0,0,1,0, 21.39244,21.39244,4,0.03529412
33,0,0,1,0, 21.39244,21.39244,4,0.03529412
34,0,0,1,0, 21.39244,21.39244,4,0.03529412
35,0,0,1,0, 21.39244,21.39244,4,0.03529412
36,0,0,1,0, 21.39244,21.39244,4,0.03529412
37,0,0,1,0, 21.39244,21.39244,4,0.03529412
38,0,0,1,0, 21.39244,21.39244,4,0.03529412
39,0,0,1,0, 21.39244,21.39244,4,0.03529412
40,0,0,1,0, 21.39244,21.39244,4,0.03529412
41,0,0,1,0, 21.39244,21.39244,4,0.03529412
42,0,0,1,0, 21.39244,21.39244,4,0.03529412
43,0,0,1,0, 21.39244,21.39244,4,0.03529412
44,0,0,1,0, 21.39244,21.39244,4,0.03529412
45,0,0,1,0, 21.39244,21.39244,4,0.03529412
46,0,0,1,0, 21.39244,21.39244,4,0.03529412
47,0,0,1,0, 21.39244,21.39244,4,0.03529412
48,0,0,1,0, 21.39244,21.39244,4,0.03529412
49,0,0,1,0, 21.39244,21.39244,4,0.03529412
50,0,0,1,0, 21.39244,21.39244,4,0.03529412
51,0,0,1,0, 21.39244,21.39244,4,0.03529412
52,0,0,1,0, 21.39244,21.39244,4,0.03529412
53,0,0,1,0, 21.39244,21.39244,4,0.03529412
54,0,0,1,0, 21.39244,21.39244,4,0.03529412
55,0,0,1,0, 21.39244,21.39244,4,0.03529412
56,0,0,1,0, 21.39244,21.39244,4,0.03529412
57,0,0,1,0, 21.39244,21.39244,4,0.03529412
58,0,0,1,0, 21.39244,21.39244,4,0.03529412
59,0,0,1,0, 21.39244,21.39244,4,0.03529412
60,0,0,1,0, 21.39244,21.39244,4,0.03529412
61,0,0,1,0, 21.39244,21.39244,4,0.03529412
62,0,0,1,0, 21.39244,21.39244,4,0.03529412
63,0,0,1,0, 21.39244,21.39244,4,0.03529412
64,0,0,1,0, 21.39244,21.39244,4,0.03529412
65,0,0,1,0, 21.39244,21.39244,4,0.03529412
66,0,0,1,0, 21.39244,21.39244,4,0.03529412
67,0,0,1,0, 21.39244,21.39244,4,0.03529412
68,0,0,1,0, 21.39244,21.39244,4,0.03529412
69,0,0,1,0, 21.39244,21.39244,4,0.03529412
70,0,0,1,0, 21.39244,21.39244,4,0.03529412
71,0,0,1,0, 21.39244,21.39244,4,0.03529412
72,0,0,1,0, 21.39244,21.39244,4,0.03529412
73,0,0,1,0, 21.39244,21.39244,4,0.03529412
74,0,0,1,0, 21.39244,21.39244,4,0.03529412
75,0,0,1,0, 21.39244,21.39244,4,0.03529412
76,0,0,1,0, 21.39244,21.39244,4,0.03529412
77,0,0,1,0, 21.39244,21.39244,4,0.03529412
78,0,0,1,0, 21.39244,21.39244,4,0.03529412
79,0,0,1,0, 21.39244,21.39244,4,0.03529412
80,0,0,1,0, 21.39244,21.39244,4,0.03529412
81,0,0,1,0, 21.39244,21.39244,4,0.03529412
82,0,0,1,0, 21.39244,21.39244,4,0.03529412
83,0,0,1,0, 21.39244,21.39244,4,0.03529412
84,0,0,1,0, 21.39244,21.39244,4,0.03529412
85,0,0,1,0, 21.39244,21.39244,4,0.03529412
86,0,0,1,0, 21.39244,21.39244,4,0.03529412
87,0,0,1,0, 21.39244,21.39244,4,0.03529412
88,0,0,1,0, 21.39244,21.39244,4,0.03529412
89,0,0,1,0, 21.39244,21.39244,4,0.03529412
90,0,0,1,0, 21.39244,21.39244,4,0.03529412
91,0,0,1,0, 21.39244,21.39244,4,0.03529412
92,0,0,1,0, 21.39244,21.39244,4,0.03529412
93,0,0,1,0, 21.39244,21.39244,4,0.03529412
94,0,0,1,0, 21.39244,21.39244,4,0.03529412
95,0,0,1,0, 21.39244,21.39244,4,0.03529412
96,0,0,1,0, 21.39244,21.39244,4,0.03529412
97,0,0,1,0, 21.39244,21.39244,4,0.03529412
98,0,0,1,0, 21.39244,21.39244,4,0.03529412
99,0,0,1,0, 21.39244,21.39244,4,0.03529412
100,0,0,1,0, 21.39244,21.39244,4,0.03529412
101,0,0,1,0, 21.39244,21.39244,4,0.03529412
102,0,0,1,0, 21.39244,21.39244,4,0.03529412
103,0,0,1,0, 21.39244,21.39244,4,0.03529412
104,0,0,1,0, 21.39244,21.39244,4,0.03529412
105,0,0,1,0, 21.39244,21.39244,4,0.03529412
106,0,0,1,0, 21.39244,21.39244,4,0.03529412
107,0,0,1,0, 21.39244,21.39244,4,0.03529412
108,0,0,1,0, 21.39244,21.39244,4,0.03529412
109,0,0,1,0, 21.39244,21.39244,4,0.03529412
110,0,0,1,0, 21.39244,21.39244,4,0.03529412
111,0,0,1,0, 21.39244,21.39244,4,0.03529412
112,0,0,1,0, 21.39244,21.39244,4,0.03529412
113,0,0,1,0, 21.39244,21.39244,4,0.03529412
114,0,0,1,0, 21.39244,21.39244,4,0.03529412
115,0,0,1,0, 21.39244,21.39244,4,0.03529412
116,0,0,1,0, 21.39244,21.39244,4,0.03529412
117,0,0,1,0, 21.39244,21.39244,4,0.03529412
118,0,0,1,0, 21.39244,21.39244,4,0.03529412
119,0,0,1,0, 21.39244,21.39244,4,0.03529412
120,0,0,1,0, 21.39244,21.39244,4,0.03529412
121,0,0,1,0, 21.39244,21.39244,4,0.03529412
122,0,0,1,0, 21.39244,21.39244,4,0.03529412
123,0,0,1,0, 21.39244,21.39244,4,0.03529412
124,0,0,1,0, 21.39244,21.39244,4,0.03529412
125,0,0,1,0, 21.39244,21.39244,4,0.03529412
126,0,0,1,0, 21.39244,21.39244,4,0.03529412
127,0,0,1,0, 21.39244,21.39244,4,0.03529412
128,0,0,1,0, 21.39244,21.39244,4,0.03529412
129,0,0,1,0, 21.39244,21.39244,4,0.03529412
130,0,0,1,0, 21.39244,21.39244,4,0.03529412
131,0,0,1,0, 21.39244,21.39244,4,0.03529412
132,0,0,1,0, 21.39244,21.39244,4,0.03529412
133,0,0,1,0, 21.39244,21.39244,4,0.03529412
134,0,0,1,0, 21.39244,21.39244,4,0.03529412
135,0,0,1,0, 21.39244,21.39244,4,0.03529412
136,0,0,1,0, 21.39244,21.39244,4,0.03529412
137,0,0,1,0, 21.39244,21.39244,4,0.03529412
138,0,0,1,0, 21.39244,21.39244,4,0.03529412
139,0,0,1,0, 21.39244,21.39244,4,0.03529412
140,0,0,1,0, 21.39244,21.39244,4,0.03529412
141,0,0,1,0, 21.39244,21.39244,4,0.03529412
142,0,0,1,0, 21.39244,21.39244,4,0.03529412
143,0,0,1,0, 21.39244,21.39244,4,0.03529412
144,0,0,1,0, 21.39244,21.39244,4,0.03529412
145,0,0,1,0, 21.39244,21.39244,4,0.03529412
146,0,0,1,0, 21.39244,21.39244,4,0.03529412
147,0,0,1,0, 21.39244,21.39244,4,0.03529412
148,0,0,1,0, 21.39244,21.39244,4,0.03529412
149,0,0,1,0, 21.39244,21.39244,4,0.03529412
150,0,0,1,0, 21.39244,21.39244,4,0.03529412
151,0,0,1,0, 21.39244,21.39244,4,0.03529412
152,0,0,1,0, 21.39244,21.39244,4,0.03529412
153,0,0,1,0, 21.39244,21.39244,4,0.03529412
154,0,0,1,0, 21.39244,21.39244,4,0.03529412
155,0,0,1,0, 21.39244,21.39244,4,0.03529412
156,0,0,1,0, 21.39244,21.39244,4,0.03529412
157,0,0,1,0, 21.39244,21.39244,4,0.03529412
158,0,0,1,0, 21.39244,21.39244,4,0.03529412
159,0,0,1,0, 21.39244,21.39244,4,0.03529412
160,0,0,1,0, 21.39244,21.39244,4,0.03529412
161,0,0,1,0, 21.39244,21.39244,4,0.03529412
162,0,0,1,0, 21.39244,21.39244,4,0.03529412
163,0,0,1,0, 21.39244,21.39244,4,0.03529412
164,0,0,1,0, 21.39244,21.39244,4,0.03529412
165,0,0,1,0, 21.39244,21.39244,4,0.03529412
166,0,0,1,0, 21.39244,21.39244,4,0.03529412
167,0,0,1,0, 21.39244,21.39244,4,0.03529412
168,0,1,1,1, 21.39244,21.39244,5,0.03448276
