Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Node 5, Node 5 flow
0,38,0,38,0, 35.06795,35.06795,0,0
1,0,0,38,0, 35.06795,35.06795,0,0
2,0,0,38,0, 35.06795,35.06795,0,0
3,0,0,38,0, 35.06795,35.06795,0,0
4,0,0,38,0, 35.06795,35.06795,0,0
5,0,0,38,0, 35.06795,35.06795,0,0
6,0,0,38,0, 35.06795,35.06795,0,0
7,0,0,38,0, 35.06795,35.06795,0,0
8,0,0,38,0, 35.06795,35.06795,0,0
9,0,0,38,0, 35.06795,35.06795,0,0
10,0,0,38,0, 35.06795,35.06795,0,0
11,0,0,38,0, 35.06795,35.06795,0,0
12,0,0,38,0, 35.06795,35.06795,0,0
13,0,0,38,0, 35.06795,35.06795,0,0
14,0,0,38,0, 35.06795,35.06795,0,0
15,0,0,38,0, 35.06795,35.06795,0,0
16,0,0,38,0, 35.06795,35.06795,0,0
17,0,0,38,0, 35.06795,35.06795,0,0
18,0,0,38,0, 35.06795,35.06795,0,0
19,0,0,38,0, 35.06795,35.06795,0,0
20,0,0,38,0, 35.06795,35.06795,0,0
21,0,0,38,0, 35.06795,35.06795,0,0
22,0,0,38,0, 35.06795,35.06795,0,0
23,0,0,38,0, 35.06795,35.06795,0,0
24,0,0,38,0, 35.06795,35.06795,0,0
25,0,0,38,0, 35.06795,35.06795,0,0
26,0,0,38,0, 35.06795,35.06795,0,0
27,0,0,38,0, 35.06795,35.06795,0,0
28,0,0,38,0, 35.06795,35.06795,0,0
29,0,0,38,0, 35.06795,35.06795,0,0
30,0,0,38,0, 35.06795,35.06795,0,0
31,0,0,38,0, 35.06795,35.06795,0,0
32,0,0,38,0, 35.06795,35.06795,0,0
33,0,0,38,0, 35.06795,35.06795,0,0
34,0,0,38,0, 35.06795,35.06795,0,0
35,0,0,38,0, 35.06795,35.06795,0,0
36,0,0,38,0, 35.06795,35.06795,0,0
37,0,0,38,0, 35.06795,35.06795,0,0
38,0,0,38,0, 35.06795,35.06795,0,0
39,0,0,38,0, 35.06795,35.06795,0,0
40,0,0,38,0, 35.06795,35.06795,0,0
41,0,0,38,0, 35.06795,35.06795,0,0
42,0,0,38,0, 35.06795,35.06795,0,0
43,0,0,38,0, 35.06795,35.06795,0,0
44,0,0,38,0, 35.06795,35.06795,0,0
45,0,0,38,0, 35.06795,35.06795,0,0
46,0,0,38,0, 35.06795,35.06795,0,0
47,0,0,38,0, 35.06795,35.06795,0,0
48,0,0,38,0, 35.06795,35.06795,0,0
49,0,0,38,0, 35.06795,35.06795,0,0
50,0,0,38,0, 35.06795,35.06795,0,0
51,0,0,38,0, 35.06795,35.06795,0,0
52,0,0,38,0, 35.06795,35.06795,0,0
53,0,0,38,0, 35.06795,35.06795,0,0
54,0,0,38,0, 35.06795,35.06795,0,0
55,0,0,38,0, 35.06795,35.06795,0,0
56,0,0,38,0, 35.06795,35.06795,0,0
57,0,0,38,0, 35.06795,35.06795,0,0
58,0,0,38,0, 35.06795,35.06795,0,0
59,0,0,38,0, 35.06795,35.06795,0,0
60,0,0,38,0, 35.06795,35.06795,0,0
61,0,0,38,0, 35.06795,35.06795,0,0
62,0,0,38,0, 35.06795,35.06795,0,0
63,0,0,38,0, 35.06795,35.06795,0,0
64,0,0,38,0, 35.06795,35.06795,0,0
65,0,0,38,0, 35.06795,35.06795,0,0
66,0,0,38,0, 35.06795,35.06795,0,0
67,0,0,38,0, 35.06795,35.06795,0,0
68,0,0,38,0, 35.06795,35.06795,0,0
69,0,0,38,0, 35.06795,35.06795,0,0
70,0,0,38,0, 35.06795,35.06795,0,0
71,0,0,38,0, 35.06795,35.06795,0,0
72,0,0,38,0, 35.06795,35.06795,0,0
73,0,0,38,0, 35.06795,35.06795,0,0
74,0,0,38,0, 35.06795,35.06795,0,0
75,0,0,38,0, 35.06795,35.06795,0,0
76,0,0,38,0, 35.06795,35.06795,0,0
77,0,0,38,0, 35.06795,35.06795,0,0
78,0,0,38,0, 35.06795,35.06795,0,0
79,0,0,38,0, 35.06795,35.06795,0,0
80,0,0,38,0, 35.06795,35.06795,0,0
81,0,0,38,0, 35.06795,35.06795,0,0
82,0,0,38,0, 35.06795,35.06795,0,0
83,0,0,38,0, 35.06795,35.06795,0,0
84,0,0,38,0, 35.06795,35.06795,0,0
85,0,0,38,0, 35.06795,35.06795,0,0
86,0,0,38,0, 35.06795,35.06795,0,0
87,0,0,38,0, 35.06795,35.06795,0,0
88,0,0,38,0, 35.06795,35.06795,0,0
89,0,0,38,0, 35.06795,35.06795,0,0
90,0,0,38,0, 35.06795,35.06795,0,0
91,0,0,38,0, 35.06795,35.06795,0,0
92,0,0,38,0, 35.06795,35.06795,0,0
93,0,0,38,0, 35.06795,35.06795,0,0
94,0,0,38,0, 35.06795,35.06795,0,0
95,0,0,38,0, 35.06795,35.06795,0,0
96,0,0,38,0, 35.06795,35.06795,0,0
97,0,0,38,0, 35.06795,35.06795,0,0
98,0,0,38,0, 35.06795,35.06795,0,0
99,0,0,38,0, 35.06795,35.06795,0,0
100,0,0,38,0, 35.06795,35.06795,0,0
101,0,0,38,0, 35.06795,35.06795,0,0
102,0,1,38,1, 35.06795,35.06795,1,3600
103,0,0,37,0, 35.98721,35.98721,1,3600
104,0,1,37,1, 35.98721,35.98721,2,3600
105,0,1,36,1, 36.90648,36.90648,3,3600
106,0,1,35,1, 37.82574,37.82574,4,3600
107,0,1,34,1, 38.74501,38.74501,5,3600
108,0,1,33,1, 39.66427,39.66427,6,3600
109,0,1,32,1, 40.58353,40.58353,7,3600
110,0,1,31,1, 41.5028,41.5028,8,3600
111,0,1,30,1, 42.42206,42.42206,9,3600
112,0,1,29,1, 43.34133,43.34133,10,3600
113,0,1,28,1, 44.26059,44.26059,11,3600
114,0,1,27,1, 45.17986,45.17986,12,3600
115,0,1,26,1, 46.09912,46.09912,13,3600
116,0,1,25,1, 47.01839,47.01839,14,3600
117,0,1,24,1, 47.93765,47.93765,15,3600
118,0,1,23,1, 48.85691,48.85691,16,3600
119,0,1,22,1, 49.77618,49.77618,17,3600
120,0,1,21,1, 50.69544,50.69544,18,3600
121,0,1,20,1, 51.61471,51.61471,19,3600
122,0,1,19,1, 52.53397,52.53397,20,3600
123,0,1,18,1, 53.45324,53.45324,21,3600
124,0,1,17,1, 54.3725,54.3725,22,3600
125,0,1,16,1, 55.29177,55.29177,23,3600
126,0,1,15,1, 56.21103,56.21103,24,3600
127,0,1,14,1, 57.13029,57.13029,25,3600
128,0,1,13,1, 58.04956,58.04956,26,3600
129,0,1,12,1, 58.96883,58.96883,27,3600
130,0,1,11,1, 59.88809,59.88809,28,3600
131,0,1,10,1, 60.80735,60.80735,29,3600
132,0,1,9,1, 61.72662,61.72662,30,3600
133,0,1,8,1, 62.64588,62.64588,31,3600
134,0,1,7,1, 63.56515,63.56515,32,3600
135,0,1,6,1, 64.48441,64.48441,33,3600
136,0,1,5,1, 65.40368,65.40368,34,3600
137,0,1,4,1, 66.32294,66.32294,35,3600
138,0,1,3,1, 67.2422,67.2422,36,3600
139,0,1,2,1, 68.16147,68.16147,37,3600
140,0,1,1,1, 69.08073,69.08073,38,3505.263
