Time(s),Households left,People left,Households starting moving,People started moving,Households reached car,People reached car,Total cars activated,Avg. walking dist.
0,1014,1989,0,0,0,0,0,0
1,1014,1989,2,4,0,0,0,0
2,1014,1989,6,12,0,0,0,0
3,1014,1989,3,6,0,0,0,0
4,1014,1989,3,6,0,0,0,0
5,1014,1989,6,12,0,0,0,0
6,1014,1989,1,2,0,0,0,0
7,1014,1989,3,6,0,0,0,0
8,1014,1989,4,8,0,0,0,0
9,1014,1989,2,4,0,0,0,0
10,1014,1989,4,8,0,0,0,0
11,1014,1989,4,8,0,0,0,0
12,1014,1989,4,8,0,0,0,0
13,1014,1989,3,6,0,0,0,0
14,1014,1989,4,8,0,0,0,0
15,1014,1989,3,6,0,0,0,0
16,1014,1989,2,4,0,0,0,0
17,1014,1989,5,9,0,0,0,0
18,1014,1989,5,10,0,0,0,0
19,1014,1989,1,2,0,0,0,0
20,1014,1989,4,8,0,0,0,0
21,1014,1989,3,6,0,0,0,0
22,1014,1989,3,6,0,0,0,0
23,1014,1989,2,3,0,0,0,0
24,1014,1989,5,9,0,0,0,0
25,1014,1989,2,4,0,0,0,0
26,1014,1989,4,8,0,0,0,0
27,1014,1989,3,6,0,0,0,0
28,1014,1989,5,10,0,0,0,0
29,1014,1989,2,4,0,0,0,0
30,1014,1989,3,6,0,0,0,0
31,1014,1989,3,6,0,0,0,0
32,1014,1989,5,9,0,0,0,0
33,1014,1989,3,6,0,0,0,0
34,1014,1989,1,2,0,0,0,0
35,1014,1989,3,6,0,0,0,0
36,1014,1989,5,10,0,0,0,0
37,1014,1989,3,6,0,0,0,0
38,1014,1989,4,7,0,0,0,0
39,1014,1989,3,6,0,0,0,0
40,1012,1985,5,10,2,4,4,0
41,1012,1985,4,7,0,0,4,34.81776
42,1011,1983,2,4,1,2,6,34.81776
43,1010,1981,4,7,1,2,8,36.04061
44,1009,1979,3,6,1,2,10,37.147
45,1007,1975,3,6,2,4,14,38.08803
46,1005,1971,2,4,2,4,18,36.92728
47,1003,1967,1,2,2,4,22,36.71285
48,1002,1965,2,4,1,2,24,36.95719
49,999,1959,4,8,3,6,30,37.21794
50,998,1957,4,6,1,2,32,37.72084
51,996,1953,6,12,2,4,36,37.56987
52,994,1949,2,4,2,4,40,37.61851
53,993,1947,7,14,1,2,42,38.22652
54,991,1943,5,10,2,4,46,38.76102
55,990,1942,8,14,1,1,47,38.42934
56,989,1940,2,4,1,2,49,38.41509
57,987,1936,4,8,2,4,53,38.83443
58,984,1930,4,8,3,6,59,38.97308
59,983,1928,8,15,1,2,61,38.90484
60,982,1926,1,2,1,2,63,38.85666
61,981,1924,1,2,1,2,65,39.38354
