Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Rox_Goal_E, Goal: Rox_Goal_R, Goal: Rox_Goal_F
109,1,0,48,0, 36.36686,1,0,0,0
110,1,0,49,0, 36.79637,1,0,0,0
111,1,0,50,0, 37.9885,1,0,0,0
112,0,0,50,0, 39.17626,1,0,0,0
113,1,0,51,0, 36.92237,1,0,0,0
114,0,0,51,0, 36.92237,1,0,0,0
115,1,0,52,0, 36.59547,1,0,0,0
116,4,0,56,0, 37.95231,1,0,0,0
117,0,0,56,0, 38.89921,1,0,0,0
118,0,0,56,0, 38.48864,1,0,0,0
119,3,0,59,0, 38.475,1,0,0,0
120,3,0,62,0, 38.52777,1,0,0,0
121,0,0,62,0, 38.84443,1,0,0,0
122,0,0,62,0, 38.85238,1,0,0,0
123,1,0,63,0, 38.97497,1,0,0,0
124,1,0,64,0, 37.66265,1,0,0,0
125,0,0,64,0, 38.90648,1,0,0,0
126,1,0,65,0, 40.11961,1,0,0,0
127,1,0,66,0, 40.02013,1,0,0,0
128,0,0,66,0, 39.85515,1,0,0,0
129,0,0,66,0, 40.05894,1,0,0,0
130,1,0,67,0, 39.32651,1,0,0,0
131,2,0,69,0, 39.73614,1,0,0,0
132,1,0,70,0, 39.89745,1,0,0,0
133,1,0,71,0, 40.05503,1,0,0,0
134,4,0,75,0, 38.89529,1,0,0,0
135,0,0,75,0, 38.72617,1,0,0,0
136,2,0,77,0, 38.93509,1,0,0,0
137,2,0,79,0, 39.66251,1,0,0,0
138,0,0,79,0, 40.28901,1,0,0,0
139,2,0,81,0, 40.43685,1,0,0,0
140,1,0,82,0, 40.28154,1,0,0,0
141,2,0,84,0, 39.40367,1,0,0,0
142,4,0,88,0, 39.67112,1,0,0,0
143,0,0,88,0, 39.64824,1,0,0,0
144,0,0,88,0, 38.54197,1,0,0,0
145,0,0,88,0, 37.31775,1,0,0,0
146,1,0,89,0, 37.25406,1,0,0,0
147,0,0,89,0, 38.12827,1,0,0,0
148,2,0,91,0, 39.03337,1,0,0,0
149,3,0,94,0, 39.23384,1,0,0,0
150,0,0,94,0, 40.20177,1,0,0,0
151,1,0,95,0, 40.32248,1,0,0,0
