Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Node 5, Node 5 flow
0,19,0,19,0, 20.01797,20.01797,62,0.5446429
1,0,0,19,0, 20.01797,20.01797,62,0.5446429
2,0,0,19,0, 20.01797,20.01797,62,0.5446429
3,0,0,19,0, 20.01797,20.01797,62,0.5446429
4,0,0,19,0, 20.01797,20.01797,62,0.5446429
5,0,0,19,0, 20.01797,20.01797,62,0.5446429
6,0,0,19,0, 20.01797,20.01797,62,0.5446429
7,0,0,19,0, 20.01797,20.01797,62,0.5446429
8,0,0,19,0, 20.01797,20.01797,62,0.5446429
9,0,0,19,0, 20.01797,20.01797,62,0.5446429
10,0,0,19,0, 20.01797,20.01797,62,0.5446429
11,0,0,19,0, 20.01797,20.01797,62,0.5446429
12,0,0,19,0, 20.01797,20.01797,62,0.5446429
13,0,0,19,0, 20.01797,20.01797,62,0.5446429
14,0,0,19,0, 20.01797,20.01797,62,0.5446429
15,0,0,19,0, 20.01797,20.01797,62,0.5446429
16,0,0,19,0, 20.01797,20.01797,62,0.5446429
17,0,0,19,0, 20.01797,20.01797,62,0.5446429
18,0,0,19,0, 20.01797,20.01797,62,0.5446429
19,0,0,19,0, 20.01797,20.01797,62,0.5446429
20,0,0,19,0, 20.01797,20.01797,62,0.5446429
21,0,0,19,0, 20.01797,20.01797,62,0.5446429
22,0,0,19,0, 20.01797,20.01797,62,0.5446429
23,0,0,19,0, 20.01797,20.01797,62,0.5446429
24,0,0,19,0, 20.01797,20.01797,62,0.5446429
25,0,0,19,0, 20.01797,20.01797,62,0.5446429
26,0,0,19,0, 20.01797,20.01797,62,0.5446429
27,0,0,19,0, 20.01797,20.01797,62,0.5446429
28,0,0,19,0, 20.01797,20.01797,62,0.5446429
29,0,0,19,0, 20.01797,20.01797,62,0.5446429
30,0,0,19,0, 20.01797,20.01797,62,0.5446429
31,0,0,19,0, 20.01797,20.01797,62,0.5446429
32,0,0,19,0, 20.01797,20.01797,62,0.5446429
33,0,0,19,0, 20.01797,20.01797,62,0.5446429
34,0,0,19,0, 20.01797,20.01797,62,0.5446429
35,0,0,19,0, 20.01797,20.01797,62,0.5446429
36,0,0,19,0, 20.01797,20.01797,62,0.5446429
37,0,0,19,0, 20.01797,20.01797,62,0.5446429
38,0,0,19,0, 20.01797,20.01797,62,0.5446429
39,0,0,19,0, 20.01797,20.01797,62,0.5446429
40,0,0,19,0, 20.01797,20.01797,62,0.5446429
41,0,0,19,0, 20.01797,20.01797,62,0.5446429
42,0,0,19,0, 20.01797,20.01797,62,0.5446429
43,0,0,19,0, 20.01797,20.01797,62,0.5446429
44,0,0,19,0, 20.01797,20.01797,62,0.5446429
45,0,0,19,0, 20.01797,20.01797,62,0.5446429
46,0,0,19,0, 20.01797,20.01797,62,0.5446429
47,0,0,19,0, 20.01797,20.01797,62,0.5446429
48,0,0,19,0, 20.01797,20.01797,62,0.5446429
49,0,0,19,0, 20.01797,20.01797,62,0.5446429
50,0,0,19,0, 20.01797,20.01797,62,0.5446429
51,0,0,19,0, 20.01797,20.01797,62,0.5446429
52,0,0,19,0, 20.01797,20.01797,62,0.5446429
53,0,0,19,0, 20.01797,20.01797,62,0.5446429
54,0,0,19,0, 20.01797,20.01797,62,0.5446429
55,0,0,19,0, 20.01797,20.01797,62,0.5446429
56,0,0,19,0, 20.01797,20.01797,62,0.5446429
57,0,0,19,0, 20.01797,20.01797,62,0.5446429
58,0,0,19,0, 20.01797,20.01797,62,0.5446429
59,0,0,19,0, 20.01797,20.01797,62,0.5446429
60,0,0,19,0, 20.01797,20.01797,62,0.5446429
61,0,0,19,0, 20.01797,20.01797,62,0.5446429
62,0,0,19,0, 20.01797,20.01797,62,0.5446429
63,0,0,19,0, 20.01797,20.01797,62,0.5446429
64,0,0,19,0, 20.01797,20.01797,62,0.5446429
65,0,0,19,0, 20.01797,20.01797,62,0.5446429
66,0,0,19,0, 20.01797,20.01797,62,0.5446429
67,0,0,19,0, 20.01797,20.01797,62,0.5446429
68,0,0,19,0, 20.01797,20.01797,62,0.5446429
69,0,0,19,0, 20.01797,20.01797,62,0.5446429
70,0,0,19,0, 20.01797,20.01797,62,0.5446429
71,0,0,19,0, 20.01797,20.01797,62,0.5446429
72,0,0,19,0, 20.01797,20.01797,62,0.5446429
73,0,0,19,0, 20.01797,20.01797,62,0.5446429
74,0,0,19,0, 20.01797,20.01797,62,0.5446429
75,0,0,19,0, 20.01797,20.01797,62,0.5446429
76,0,0,19,0, 20.01797,20.01797,62,0.5446429
77,0,0,19,0, 20.01797,20.01797,62,0.5446429
78,0,0,19,0, 20.01797,20.01797,62,0.5446429
79,0,0,19,0, 20.01797,20.01797,62,0.5446429
80,0,0,19,0, 20.01797,20.01797,62,0.5446429
81,0,0,19,0, 20.01797,20.01797,62,0.5446429
82,0,0,19,0, 20.01797,20.01797,62,0.5446429
83,0,0,19,0, 20.01797,20.01797,62,0.5446429
84,0,0,19,0, 20.01797,20.01797,62,0.5446429
85,0,0,19,0, 20.01797,20.01797,62,0.5446429
86,0,0,19,0, 20.01797,20.01797,62,0.5446429
87,0,0,19,0, 20.01797,20.01797,62,0.5446429
88,0,0,19,0, 20.01797,20.01797,62,0.5446429
89,0,0,19,0, 20.01797,20.01797,62,0.5446429
90,0,0,19,0, 20.01797,20.01797,62,0.5446429
91,0,0,19,0, 20.01797,20.01797,62,0.5446429
92,0,0,19,0, 20.01797,20.01797,62,0.5446429
93,0,0,19,0, 20.01797,20.01797,62,0.5446429
94,0,0,19,0, 20.01797,20.01797,62,0.5446429
95,0,0,19,0, 20.01797,20.01797,62,0.5446429
96,0,0,19,0, 20.01797,20.01797,62,0.5446429
97,0,0,19,0, 20.01797,20.01797,62,0.5446429
98,0,0,19,0, 20.01797,20.01797,62,0.5446429
99,0,0,19,0, 20.01797,20.01797,62,0.5446429
100,0,0,19,0, 20.01797,20.01797,62,0.5446429
101,0,0,19,0, 20.01797,20.01797,62,0.5446429
