Time(s),Households left,People left,Households starting moving,People started moving,Households reached car,People reached car,Total cars activated,Avg. walking dist.
0,343,1014,0,0,0,0,0,0
1,343,1014,1,4,0,0,0,0
2,343,1014,1,3,0,0,0,0
3,343,1014,0,0,0,0,0,0
4,343,1014,0,0,0,0,0,0
5,343,1014,0,0,0,0,0,0
6,343,1014,3,8,0,0,0,0
7,343,1014,2,4,0,0,0,0
8,343,1014,0,0,0,0,0,0
9,343,1014,0,0,0,0,0,0
10,343,1014,0,0,0,0,0,0
11,343,1014,0,0,0,0,0,0
12,343,1014,1,3,0,0,0,0
13,343,1014,2,9,0,0,0,0
14,343,1014,1,5,0,0,0,0
15,343,1014,1,3,0,0,0,0
16,343,1014,0,0,0,0,0,0
17,343,1014,1,1,0,0,0,0
18,343,1014,3,5,0,0,0,0
19,343,1014,0,0,0,0,0,0
20,343,1014,2,6,0,0,0,0
21,343,1014,0,0,0,0,0,0
22,343,1014,1,5,0,0,0,0
23,343,1014,0,0,0,0,0,0
24,343,1014,1,4,0,0,0,0
25,343,1014,0,0,0,0,0,0
26,343,1014,2,4,0,0,0,0
27,343,1014,1,5,0,0,0,0
28,343,1014,0,0,0,0,0,0
29,343,1014,1,3,0,0,0,0
30,343,1014,1,4,0,0,0,0
31,343,1014,4,19,0,0,0,0
32,343,1014,0,0,0,0,0,0
33,343,1014,2,8,0,0,0,0
34,343,1014,2,9,0,0,0,0
35,343,1014,2,6,0,0,0,0
36,342,1010,2,6,1,4,2,0
37,342,1010,1,4,0,0,2,35.03409
38,341,1007,1,3,1,3,3,35.03409
39,341,1007,2,2,0,0,3,35.87446
40,340,1005,3,9,1,2,5,35.87446
41,340,1005,0,0,0,0,5,35.34578
42,339,1004,1,5,1,1,6,35.34578
43,339,1004,2,6,0,0,6,35.2921
44,339,1004,1,3,0,0,6,35.2921
45,339,1004,1,4,0,0,6,35.2921
46,339,1004,1,1,0,0,6,35.2921
47,339,1004,1,5,0,0,6,35.2921
48,339,1004,3,11,0,0,6,35.2921
49,339,1004,0,0,0,0,6,35.2921
50,338,1002,2,6,1,2,8,35.2921
51,338,1002,1,1,0,0,8,37.10017
52,338,1002,0,0,0,0,8,37.10017
53,337,1001,2,9,1,1,9,37.10017
54,337,1001,0,0,0,0,9,36.57737
55,335,992,1,3,2,9,12,36.57737
56,334,989,0,0,1,3,13,37.96076
57,334,989,1,5,0,0,13,39.24737
58,334,989,3,8,0,0,13,39.24737
59,333,984,1,1,1,5,14,39.24737
60,331,974,0,0,2,10,16,39.96218
61,331,974,1,1,0,0,16,40.24884
62,331,974,0,0,0,0,16,40.24884
63,331,974,3,9,0,0,16,40.24884
64,331,974,3,9,0,0,16,40.24884
65,328,960,2,5,3,14,20,40.24884
66,327,957,0,0,1,3,21,39.06844
67,326,955,3,9,1,2,22,40.00362
68,326,955,2,10,0,0,22,40.09608
69,325,950,1,3,1,5,23,40.09608
70,325,950,2,5,0,0,23,39.87939
71,325,950,3,8,0,0,23,39.87939
72,321,936,1,2,4,14,27,39.87939
73,321,936,1,3,0,0,27,41.33517
74,319,930,1,5,2,6,30,41.33517
75,318,929,1,2,1,1,31,41.83676
76,314,916,2,8,4,13,36,41.60106
77,314,916,0,0,0,0,36,41.59496
78,313,913,1,2,1,3,38,41.59496
79,313,913,3,12,0,0,38,41.37761
80,312,910,1,1,1,3,40,41.37761
81,311,905,0,0,1,5,41,41.21764
82,310,904,3,8,1,1,42,41.00826
83,309,902,2,7,1,2,43,41.72088
84,309,902,0,0,0,0,43,41.53839
85,307,896,2,5,2,6,45,41.53839
86,304,888,0,0,3,8,48,41.49219
87,304,888,0,0,0,0,48,41.46639
88,304,888,4,17,0,0,48,41.46639
89,303,886,3,9,1,2,49,41.46639
90,303,886,2,8,0,0,49,42.22481
91,301,876,0,0,2,10,51,42.22481
92,301,876,2,9,0,0,51,42.46231
93,299,871,1,2,2,5,54,42.46231
94,299,871,1,4,0,0,54,42.1957
95,299,871,0,0,0,0,54,42.1957
96,297,868,3,11,2,3,57,42.1957
97,296,864,1,4,1,4,59,42.81426
98,296,864,1,3,0,0,59,43.13319
99,296,864,0,0,0,0,59,43.13319
100,296,864,1,1,0,0,59,43.13319
101,295,862,0,0,1,2,61,43.13319
102,294,861,0,0,1,1,62,42.99539
103,293,856,1,3,1,5,63,42.89704
104,291,853,1,5,2,3,65,42.94207
105,291,853,1,5,0,0,65,43.11108
106,290,852,1,1,1,1,66,43.11108
107,289,847,0,0,1,5,67,43.54794
108,289,847,2,6,0,0,67,43.65612
109,285,832,1,4,4,15,71,43.65612
110,284,830,1,2,1,2,72,44.28272
111,284,830,0,0,0,0,72,44.18725
112,282,824,2,4,2,6,75,44.18725
113,280,816,2,4,2,8,78,44.02113
114,280,816,2,4,0,0,78,44.50927
115,280,816,2,5,0,0,78,44.50927
116,279,811,2,5,1,5,80,44.50927
117,277,807,1,3,2,4,82,44.97031
118,276,802,1,1,1,5,84,44.70424
119,273,797,0,0,3,5,88,44.74245
120,273,797,1,1,0,0,88,44.65325
121,272,795,0,0,1,2,89,44.65325
122,270,791,1,4,2,4,92,44.71999
123,267,782,1,5,3,9,96,45.17621
124,266,777,1,5,1,5,97,46.48907
125,265,774,1,1,1,3,98,46.61604
126,262,764,0,0,3,10,103,46.56353
127,260,757,2,5,2,7,106,47.57123
128,260,757,2,6,0,0,106,47.72109
129,260,757,1,2,0,0,106,47.72109
130,260,757,0,0,0,0,106,47.72109
131,258,750,4,11,2,7,108,47.72109
132,254,732,0,0,4,18,114,48.29749
133,253,729,3,11,1,3,116,48.71757
134,253,729,0,0,0,0,116,48.56317
135,253,729,1,2,0,0,116,48.56317
136,251,723,4,11,2,6,119,48.56317
137,250,718,0,0,1,5,120,48.63105
138,250,718,1,3,0,0,120,48.55166
139,249,715,1,1,1,3,121,48.55166
140,248,711,0,0,1,4,123,48.93534
141,248,711,3,5,0,0,123,48.90095
142,246,706,3,5,2,5,125,48.90095
143,246,706,1,3,0,0,125,49.26513
144,246,706,0,0,0,0,125,49.26513
145,245,705,3,5,1,1,126,49.26513
146,245,705,1,2,0,0,126,49.41914
147,242,697,2,7,3,8,131,49.41914
148,241,692,2,7,1,5,133,49.90138
149,238,685,0,0,3,7,136,49.99363
150,238,685,1,3,0,0,136,50.04083
151,235,678,1,4,3,7,140,50.04083
152,235,678,1,3,0,0,140,50.28181
153,234,674,1,5,1,4,142,50.28181
154,234,674,3,8,0,0,142,50.44394
155,232,670,3,10,2,4,145,50.44394
156,230,665,3,4,2,5,147,50.67142
157,229,660,0,0,1,5,148,50.53608
158,229,660,0,0,0,0,148,50.74239
159,229,660,0,0,0,0,148,50.74239
160,228,659,0,0,1,1,149,50.74239
161,228,659,1,1,0,0,149,51.07877
162,228,659,3,13,0,0,149,51.07877
163,225,649,1,1,3,10,153,51.07877
164,225,649,0,0,0,0,153,51.56068
165,222,635,0,0,3,14,157,51.56068
166,222,635,0,0,0,0,157,52.20977
167,219,626,1,3,3,9,160,52.20977
168,218,622,1,3,1,4,161,52.35827
169,215,616,2,7,3,6,165,52.23132
170,214,614,0,0,1,2,166,52.03577
171,211,602,1,1,3,12,172,51.95726
172,209,597,1,5,2,5,176,52.32777
173,208,593,2,9,1,4,178,52.77076
174,204,578,0,0,4,15,183,53.0077
175,203,575,1,5,1,3,184,53.72745
176,199,570,3,10,4,5,188,53.58907
177,199,570,2,3,0,0,188,53.28966
178,198,567,1,4,1,3,189,53.28966
179,197,564,0,0,1,3,191,53.16621
180,195,560,0,0,2,4,193,53.0381
181,193,552,2,4,2,8,196,52.87332
182,192,551,4,16,1,1,197,52.91684
183,192,551,1,1,0,0,197,52.8156
184,190,545,2,5,2,6,199,52.8156
185,190,545,1,3,0,0,199,53.06668
186,189,542,1,1,1,3,200,53.06668
187,187,533,1,5,2,9,202,53.16917
188,187,533,3,9,0,0,202,53.3138
189,187,533,2,6,0,0,202,53.3138
190,185,525,1,3,2,8,204,53.3138
191,182,518,1,5,3,7,208,53.40205
192,180,513,1,3,2,5,210,53.41133
193,179,512,1,3,1,1,211,53.4704
194,177,510,0,0,2,2,213,53.54879
195,175,505,2,5,2,5,216,53.37011
196,172,495,2,5,3,10,221,53.31108
197,169,484,0,0,3,11,225,53.44075
198,168,481,1,1,1,3,227,53.71609
199,166,478,1,4,2,3,229,53.65736
200,166,478,0,0,0,0,229,53.53374
201,165,475,0,0,1,3,230,53.53374
202,164,473,1,4,1,2,231,53.50647
203,163,470,0,0,1,3,232,53.60437
204,163,470,3,7,0,0,232,53.61579
205,162,466,1,1,1,4,233,53.61579
206,161,464,1,1,1,2,235,53.75061
207,160,462,1,5,1,2,236,53.97192
208,159,460,0,0,1,2,238,54.17542
209,157,454,2,5,2,6,240,54.23698
210,156,453,2,7,1,1,241,54.08964
211,156,453,0,0,0,0,241,54.00821
212,156,453,1,5,0,0,241,54.00821
213,154,447,2,6,2,6,245,54.00821
214,153,446,1,1,1,1,246,54.18222
215,152,443,1,1,1,3,247,54.09223
216,152,443,2,7,0,0,247,54.06098
217,151,442,0,0,1,1,248,54.06098
218,151,442,0,0,0,0,248,54.18456
219,147,431,0,0,4,11,254,54.18456
220,146,428,4,15,1,3,256,54.21102
221,145,423,3,9,1,5,258,54.12078
222,143,414,1,3,2,9,261,54.0815
223,142,409,1,1,1,5,262,54.33284
224,142,409,2,5,0,0,262,54.26708
225,142,409,2,2,0,0,262,54.26708
226,141,407,2,4,1,2,264,54.26708
227,141,407,1,5,0,0,264,54.18316
228,139,398,1,3,2,9,267,54.18316
229,139,398,0,0,0,0,267,54.22119
230,137,394,2,8,2,4,269,54.22119
231,136,392,0,0,1,2,270,54.31384
232,135,390,1,3,1,2,271,54.54462
233,132,380,0,0,3,10,277,54.52928
234,130,378,2,5,2,2,279,54.67763
235,130,378,1,2,0,0,279,54.80512
236,129,374,1,3,1,4,280,54.80512
237,129,374,1,1,0,0,280,54.70845
238,128,371,3,11,1,3,281,54.70845
239,127,367,0,0,1,4,283,54.65308
240,127,367,0,0,0,0,283,54.58296
241,127,367,0,0,0,0,283,54.58296
242,126,362,0,0,1,5,284,54.58296
243,125,358,0,0,1,4,286,54.65321
244,124,356,2,6,1,2,287,54.80827
245,123,353,0,0,1,3,288,54.7438
246,123,353,0,0,0,0,288,54.90633
247,122,349,1,1,1,4,289,54.90633
248,122,349,1,3,0,0,289,55.10538
249,121,345,2,5,1,4,291,55.10538
250,121,345,1,2,0,0,291,55.019
251,119,338,1,1,2,7,293,55.019
252,117,332,1,3,2,6,296,55.36091
253,117,332,0,0,0,0,296,55.3454
254,115,326,1,2,2,6,298,55.3454
255,115,326,0,0,0,0,298,55.16058
