Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Node 5, Node 5 flow
0,75,0,75,0, 1.02523,1.02523,720,0.2053699
1,0,0,75,0, 1.02523,1.02523,720,0.2053699
2,0,0,75,0, 1.02523,1.02523,720,0.2053699
3,0,0,75,0, 1.02523,1.02523,720,0.2053699
4,0,0,75,0, 1.02523,1.02523,720,0.2053699
5,0,0,75,0, 1.02523,1.02523,720,0.2053699
6,0,0,75,0, 1.02523,1.02523,720,0.2053699
7,0,0,75,0, 1.02523,1.02523,720,0.2053699
8,0,0,75,0, 1.02523,1.02523,720,0.2053699
9,0,0,75,0, 1.02523,1.02523,720,0.2053699
10,0,0,75,0, 1.02523,1.02523,720,0.2053699
11,0,0,75,0, 1.02523,1.02523,720,0.2053699
12,0,0,75,0, 1.02523,1.02523,720,0.2053699
13,0,0,75,0, 1.02523,1.02523,720,0.2053699
14,0,0,75,0, 1.02523,1.02523,720,0.2053699
15,0,0,75,0, 1.02523,1.02523,720,0.2053699
16,0,0,75,0, 1.02523,1.02523,720,0.2053699
17,0,0,75,0, 1.02523,1.02523,720,0.2053699
18,0,0,75,0, 1.02523,1.02523,720,0.2053699
19,0,0,75,0, 1.02523,1.02523,720,0.2053699
20,0,0,75,0, 1.02523,1.02523,720,0.2053699
21,0,0,75,0, 1.02523,1.02523,720,0.2053699
22,0,0,75,0, 1.02523,1.02523,720,0.2053699
23,0,0,75,0, 1.02523,1.02523,720,0.2053699
24,0,0,75,0, 1.02523,1.02523,720,0.2053699
25,0,0,75,0, 1.02523,1.02523,720,0.2053699
26,0,0,75,0, 1.02523,1.02523,720,0.2053699
27,0,0,75,0, 1.02523,1.02523,720,0.2053699
28,0,0,75,0, 1.02523,1.02523,720,0.2053699
29,0,0,75,0, 1.02523,1.02523,720,0.2053699
30,0,0,75,0, 1.02523,1.02523,720,0.2053699
31,0,0,75,0, 1.02523,1.02523,720,0.2053699
32,0,0,75,0, 1.02523,1.02523,720,0.2053699
33,0,0,75,0, 1.02523,1.02523,720,0.2053699
34,0,0,75,0, 1.02523,1.02523,720,0.2053699
35,0,0,75,0, 1.02523,1.02523,720,0.2053699
36,0,0,75,0, 1.02523,1.02523,720,0.2053699
37,0,0,75,0, 1.02523,1.02523,720,0.2053699
38,0,0,75,0, 1.02523,1.02523,720,0.2053699
39,0,0,75,0, 1.02523,1.02523,720,0.2053699
40,0,0,75,0, 1.02523,1.02523,720,0.2053699
41,0,0,75,0, 1.02523,1.02523,720,0.2053699
42,0,0,75,0, 1.02523,1.02523,720,0.2053699
43,0,0,75,0, 1.02523,1.02523,720,0.2053699
44,0,0,75,0, 1.02523,1.02523,720,0.2053699
45,0,0,75,0, 1.02523,1.02523,720,0.2053699
46,0,0,75,0, 1.02523,1.02523,720,0.2053699
47,0,0,75,0, 1.02523,1.02523,720,0.2053699
48,0,0,75,0, 1.02523,1.02523,720,0.2053699
49,0,0,75,0, 1.02523,1.02523,720,0.2053699
50,0,0,75,0, 1.02523,1.02523,720,0.2053699
51,0,0,75,0, 1.02523,1.02523,720,0.2053699
52,0,0,75,0, 1.02523,1.02523,720,0.2053699
53,0,0,75,0, 1.02523,1.02523,720,0.2053699
54,0,0,75,0, 1.02523,1.02523,720,0.2053699
55,0,0,75,0, 1.02523,1.02523,720,0.2053699
56,0,0,75,0, 1.02523,1.02523,720,0.2053699
57,0,0,75,0, 1.02523,1.02523,720,0.2053699
58,0,0,75,0, 1.02523,1.02523,720,0.2053699
59,0,0,75,0, 1.02523,1.02523,720,0.2053699
60,0,0,75,0, 1.02523,1.02523,720,0.2053699
61,0,0,75,0, 1.02523,1.02523,720,0.2053699
62,0,0,75,0, 1.02523,1.02523,720,0.2053699
63,0,0,75,0, 1.02523,1.02523,720,0.2053699
64,0,0,75,0, 1.02523,1.02523,720,0.2053699
65,0,0,75,0, 1.02523,1.02523,720,0.2053699
66,0,0,75,0, 1.02523,1.02523,720,0.2053699
67,0,0,75,0, 1.02523,1.02523,720,0.2053699
68,0,0,75,0, 1.02523,1.02523,720,0.2053699
69,0,0,75,0, 1.02523,1.02523,720,0.2053699
70,0,0,75,0, 1.02523,1.02523,720,0.2053699
71,0,0,75,0, 1.02523,1.02523,720,0.2053699
72,0,0,75,0, 1.02523,1.02523,720,0.2053699
73,0,0,75,0, 1.02523,1.02523,720,0.2053699
74,0,0,75,0, 1.02523,1.02523,720,0.2053699
75,0,0,75,0, 1.02523,1.02523,720,0.2053699
76,0,0,75,0, 1.02523,1.02523,720,0.2053699
77,0,0,75,0, 1.02523,1.02523,720,0.2053699
78,0,0,75,0, 1.02523,1.02523,720,0.2053699
79,0,0,75,0, 1.02523,1.02523,720,0.2053699
80,0,0,75,0, 1.02523,1.02523,720,0.2053699
81,0,0,75,0, 1.02523,1.02523,720,0.2053699
82,0,0,75,0, 1.02523,1.02523,720,0.2053699
83,0,0,75,0, 1.02523,1.02523,720,0.2053699
84,0,0,75,0, 1.02523,1.02523,720,0.2053699
85,0,0,75,0, 1.02523,1.02523,720,0.2053699
86,0,0,75,0, 1.02523,1.02523,720,0.2053699
87,0,0,75,0, 1.02523,1.02523,720,0.2053699
88,0,0,75,0, 1.02523,1.02523,720,0.2053699
89,0,0,75,0, 1.02523,1.02523,720,0.2053699
90,0,0,75,0, 1.02523,1.02523,720,0.2053699
91,0,0,75,0, 1.02523,1.02523,720,0.2053699
92,0,0,75,0, 1.02523,1.02523,720,0.2053699
