Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Node 5, Node 5 flow
0,75,0,75,0, 1.020355,1.020355,795,0.2245475
1,0,0,75,0, 1.020355,1.020355,795,0.2245475
2,0,0,75,0, 1.020355,1.020355,795,0.2245475
3,0,0,75,0, 1.020355,1.020355,795,0.2245475
4,0,0,75,0, 1.020355,1.020355,795,0.2245475
5,0,0,75,0, 1.020355,1.020355,795,0.2245475
6,0,0,75,0, 1.020355,1.020355,795,0.2245475
7,0,0,75,0, 1.020355,1.020355,795,0.2245475
8,0,0,75,0, 1.020355,1.020355,795,0.2245475
9,0,0,75,0, 1.020355,1.020355,795,0.2245475
10,0,0,75,0, 1.020355,1.020355,795,0.2245475
11,0,0,75,0, 1.020355,1.020355,795,0.2245475
12,0,0,75,0, 1.020355,1.020355,795,0.2245475
13,0,0,75,0, 1.020355,1.020355,795,0.2245475
14,0,0,75,0, 1.020355,1.020355,795,0.2245475
15,0,0,75,0, 1.020355,1.020355,795,0.2245475
16,0,0,75,0, 1.020355,1.020355,795,0.2245475
17,0,0,75,0, 1.020355,1.020355,795,0.2245475
18,0,0,75,0, 1.020355,1.020355,795,0.2245475
19,0,0,75,0, 1.020355,1.020355,795,0.2245475
20,0,0,75,0, 1.020355,1.020355,795,0.2245475
21,0,0,75,0, 1.020355,1.020355,795,0.2245475
22,0,0,75,0, 1.020355,1.020355,795,0.2245475
23,0,0,75,0, 1.020355,1.020355,795,0.2245475
24,0,0,75,0, 1.020355,1.020355,795,0.2245475
25,0,0,75,0, 1.020355,1.020355,795,0.2245475
26,0,0,75,0, 1.020355,1.020355,795,0.2245475
27,0,0,75,0, 1.020355,1.020355,795,0.2245475
28,0,0,75,0, 1.020355,1.020355,795,0.2245475
29,0,0,75,0, 1.020355,1.020355,795,0.2245475
30,0,0,75,0, 1.020355,1.020355,795,0.2245475
31,0,0,75,0, 1.020355,1.020355,795,0.2245475
32,0,0,75,0, 1.020355,1.020355,795,0.2245475
33,0,0,75,0, 1.020355,1.020355,795,0.2245475
34,0,0,75,0, 1.020355,1.020355,795,0.2245475
35,0,0,75,0, 1.020355,1.020355,795,0.2245475
36,0,0,75,0, 1.020355,1.020355,795,0.2245475
37,0,0,75,0, 1.020355,1.020355,795,0.2245475
38,0,0,75,0, 1.020355,1.020355,795,0.2245475
39,0,0,75,0, 1.020355,1.020355,795,0.2245475
40,0,0,75,0, 1.020355,1.020355,795,0.2245475
41,0,0,75,0, 1.020355,1.020355,795,0.2245475
42,0,0,75,0, 1.020355,1.020355,795,0.2245475
43,0,0,75,0, 1.020355,1.020355,795,0.2245475
44,0,0,75,0, 1.020355,1.020355,795,0.2245475
45,0,0,75,0, 1.020355,1.020355,795,0.2245475
46,0,0,75,0, 1.020355,1.020355,795,0.2245475
47,0,0,75,0, 1.020355,1.020355,795,0.2245475
48,0,0,75,0, 1.020355,1.020355,795,0.2245475
49,0,0,75,0, 1.020355,1.020355,795,0.2245475
50,0,0,75,0, 1.020355,1.020355,795,0.2245475
51,0,0,75,0, 1.020355,1.020355,795,0.2245475
52,0,0,75,0, 1.020355,1.020355,795,0.2245475
53,0,0,75,0, 1.020355,1.020355,795,0.2245475
54,0,0,75,0, 1.020355,1.020355,795,0.2245475
55,0,0,75,0, 1.020355,1.020355,795,0.2245475
56,0,0,75,0, 1.020355,1.020355,795,0.2245475
57,0,0,75,0, 1.020355,1.020355,795,0.2245475
58,0,0,75,0, 1.020355,1.020355,795,0.2245475
59,0,0,75,0, 1.020355,1.020355,795,0.2245475
60,0,0,75,0, 1.020355,1.020355,795,0.2245475
61,0,0,75,0, 1.020355,1.020355,795,0.2245475
62,0,0,75,0, 1.020355,1.020355,795,0.2245475
63,0,0,75,0, 1.020355,1.020355,795,0.2245475
64,0,0,75,0, 1.020355,1.020355,795,0.2245475
65,0,0,75,0, 1.020355,1.020355,795,0.2245475
66,0,0,75,0, 1.020355,1.020355,795,0.2245475
67,0,0,75,0, 1.020355,1.020355,795,0.2245475
68,0,0,75,0, 1.020355,1.020355,795,0.2245475
69,0,0,75,0, 1.020355,1.020355,795,0.2245475
70,0,0,75,0, 1.020355,1.020355,795,0.2245475
71,0,0,75,0, 1.020355,1.020355,795,0.2245475
72,0,0,75,0, 1.020355,1.020355,795,0.2245475
73,0,0,75,0, 1.020355,1.020355,795,0.2245475
74,0,0,75,0, 1.020355,1.020355,795,0.2245475
75,0,0,75,0, 1.020355,1.020355,795,0.2245475
76,0,0,75,0, 1.020355,1.020355,795,0.2245475
77,0,0,75,0, 1.020355,1.020355,795,0.2245475
78,0,0,75,0, 1.020355,1.020355,795,0.2245475
79,0,0,75,0, 1.020355,1.020355,795,0.2245475
80,0,0,75,0, 1.020355,1.020355,795,0.2245475
81,0,0,75,0, 1.020355,1.020355,795,0.2245475
82,0,0,75,0, 1.020355,1.020355,795,0.2245475
83,0,0,75,0, 1.020355,1.020355,795,0.2245475
84,0,0,75,0, 1.020355,1.020355,795,0.2245475
85,0,0,75,0, 1.020355,1.020355,795,0.2245475
86,0,0,75,0, 1.020355,1.020355,795,0.2245475
87,0,0,75,0, 1.020355,1.020355,795,0.2245475
88,0,0,75,0, 1.020355,1.020355,795,0.2245475
89,0,0,75,0, 1.020355,1.020355,795,0.2245475
90,0,0,75,0, 1.020355,1.020355,795,0.2245475
91,0,0,75,0, 1.020355,1.020355,795,0.2245475
92,0,0,75,0, 1.020355,1.020355,795,0.2245475
93,0,0,75,0, 1.020355,1.020355,795,0.2245475
94,0,0,75,0, 1.020355,1.020355,795,0.2245475
95,0,0,75,0, 1.020355,1.020355,795,0.2245475
96,0,0,75,0, 1.020355,1.020355,795,0.2245475
97,0,0,75,0, 1.020355,1.020355,795,0.2245475
98,0,0,75,0, 1.020355,1.020355,795,0.2245475
99,0,0,75,0, 1.020355,1.020355,795,0.2245475
100,0,0,75,0, 1.020355,1.020355,795,0.2245475
101,0,0,75,0, 1.020355,1.020355,795,0.2245475
102,0,0,75,0, 1.020355,1.020355,795,0.2245475
103,0,0,75,0, 1.020355,1.020355,795,0.2245475
104,0,0,75,0, 1.020355,1.020355,795,0.2245475
105,0,0,75,0, 1.020355,1.020355,795,0.2245475
106,0,0,75,0, 1.020355,1.020355,795,0.2245475
107,0,0,75,0, 1.020355,1.020355,795,0.2245475
