Time(s),Households left,People left,Households starting moving,People started moving,Households reached car,People reached car,Total cars activated,Avg. walking dist.
0,1014,3003,0,0,0,0,0,0
1,1014,3003,5,15,0,0,0,0
2,1014,3003,1,3,0,0,0,0
3,1014,3003,1,3,0,0,0,0
4,1014,3003,4,11,0,0,0,0
5,1014,3003,1,3,0,0,0,0
6,1014,3003,2,6,0,0,0,0
7,1014,3003,3,9,0,0,0,0
8,1014,3003,3,9,0,0,0,0
9,1014,3003,7,21,0,0,0,0
10,1014,3003,4,12,0,0,0,0
11,1014,3003,6,18,0,0,0,0
12,1014,3003,0,0,0,0,0,0
13,1014,3003,4,12,0,0,0,0
14,1014,3003,4,12,0,0,0,0
15,1014,3003,5,15,0,0,0,0
16,1014,3003,3,9,0,0,0,0
17,1014,3003,2,6,0,0,0,0
18,1014,3003,5,15,0,0,0,0
19,1014,3003,6,18,0,0,0,0
20,1014,3003,5,14,0,0,0,0
21,1014,3003,4,12,0,0,0,0
22,1014,3003,0,0,0,0,0,0
23,1014,3003,1,3,0,0,0,0
24,1014,3003,2,6,0,0,0,0
25,1014,3003,3,9,0,0,0,0
26,1014,3003,2,6,0,0,0,0
27,1014,3003,2,6,0,0,0,0
28,1014,3003,0,0,0,0,0,0
29,1014,3003,3,9,0,0,0,0
30,1014,3003,4,12,0,0,0,0
31,1014,3003,2,6,0,0,0,0
32,1014,3003,7,21,0,0,0,0
33,1014,3003,7,21,0,0,0,0
34,1014,3003,2,6,0,0,0,0
35,1014,3003,5,15,0,0,0,0
36,1014,3003,5,15,0,0,0,0
37,1014,3003,6,18,0,0,0,0
38,1014,3003,4,12,0,0,0,0
39,1013,3000,3,9,1,3,3,0
40,1012,2997,7,21,1,3,6,38.88179
41,1009,2989,5,15,3,8,14,36.42044
42,1009,2989,5,15,0,0,14,37.96066
43,1007,2983,2,5,2,6,20,37.96066
44,1006,2980,2,6,1,3,23,36.85076
45,1004,2974,4,11,2,6,29,36.87228
46,1004,2974,4,12,0,0,29,37.0364
47,1004,2974,5,14,0,0,29,37.0364
48,1002,2968,2,6,2,6,35,37.0364
49,999,2959,4,12,3,9,44,36.98971
50,996,2950,1,3,3,9,53,37.22765
51,995,2947,4,12,1,3,56,37.8696
52,993,2941,5,15,2,6,62,38.07017
53,987,2923,3,9,6,18,80,38.33384
54,984,2914,1,3,3,9,89,38.20069
55,984,2914,4,11,0,0,89,38.01685
56,982,2908,5,15,2,6,95,38.01685
57,979,2899,9,27,3,9,104,37.82309
58,977,2893,6,18,2,6,110,38.48455
59,974,2884,2,6,3,9,119,38.64028
60,972,2878,2,5,2,6,125,38.98682
61,971,2875,6,17,1,3,128,39.45045
62,969,2869,4,12,2,6,134,39.55996
63,969,2869,2,6,0,0,134,39.56845
64,968,2867,2,6,1,2,136,39.56845
65,968,2867,4,12,0,0,136,39.6734
66,967,2864,4,12,1,3,139,39.6734
67,963,2852,2,6,4,12,151,39.55176
68,960,2843,6,18,3,9,160,39.42188
69,957,2834,4,11,3,9,169,39.62913
70,955,2828,1,3,2,6,175,39.52814
71,953,2822,1,3,2,6,181,39.63178
72,948,2807,3,9,5,15,196,39.45283
73,946,2801,2,6,2,6,202,40.16322
74,943,2792,1,2,3,9,211,40.04872
75,941,2786,1,3,2,6,217,39.98059
76,939,2780,2,6,2,6,223,40.0626
77,935,2768,3,9,4,12,235,40.11267
78,934,2765,5,15,1,3,238,39.97848
79,932,2759,6,18,2,6,244,40.08234
80,927,2744,3,9,5,15,259,40.6926
81,924,2735,3,9,3,9,268,41.25358
82,923,2732,1,3,1,3,271,41.92784
83,919,2720,3,9,4,12,283,42.25309
84,912,2700,3,8,7,20,303,42.69036
85,910,2694,7,20,2,6,309,42.76437
86,907,2685,3,9,3,9,318,42.89361
87,902,2670,4,12,5,15,333,43.26996
88,900,2664,1,3,2,6,339,42.91724
89,897,2655,2,6,3,9,348,43.15753
90,892,2640,5,15,5,15,363,43.04102
91,888,2628,1,3,4,12,375,43.3813
92,883,2613,5,15,5,15,390,43.85094
93,883,2613,7,21,0,0,390,44.10894
94,882,2610,4,12,1,3,393,44.10894
95,880,2604,6,18,2,6,399,44.38542
96,872,2582,3,9,8,22,421,44.49986
97,869,2573,5,15,3,9,430,44.23011
98,866,2564,5,15,3,9,439,44.73022
99,865,2561,3,9,1,3,442,45.13844
100,859,2543,2,6,6,18,460,45.11662
101,856,2534,2,5,3,9,469,45.53233
102,854,2528,5,15,2,6,475,45.82284
103,848,2510,2,6,6,18,493,45.84493
104,846,2504,5,15,2,6,499,46.38169
105,839,2483,3,9,7,21,520,46.32795
106,838,2480,1,3,1,3,523,46.38235
107,831,2461,1,3,7,19,542,46.31316
108,831,2461,3,9,0,0,542,46.65272
109,827,2449,4,12,4,12,554,46.65272
110,824,2440,5,15,3,9,563,46.98001
111,822,2434,1,3,2,6,569,47.03585
112,819,2425,5,14,3,9,578,47.26709
113,818,2422,3,9,1,3,581,47.37643
114,815,2413,1,3,3,9,590,47.41733
115,812,2404,3,9,3,9,599,47.58311
116,810,2398,4,11,2,6,605,47.76718
117,806,2386,5,15,4,12,617,48.14098
118,805,2383,4,12,1,3,620,48.40767
119,799,2365,1,3,6,18,638,48.36752
120,798,2362,3,9,1,3,641,48.51133
121,790,2338,3,9,8,24,665,48.44858
122,788,2332,3,9,2,6,671,49.40502
123,787,2329,7,21,1,3,674,49.32356
124,785,2324,3,9,2,5,679,49.39248
125,783,2318,3,8,2,6,685,49.4411
126,780,2309,2,6,3,9,694,49.49507
127,778,2303,4,12,2,6,700,49.36849
128,772,2285,3,9,6,18,718,49.45421
129,769,2276,2,6,3,9,727,49.75655
130,764,2261,3,9,5,15,742,50.13671
131,762,2255,8,24,2,6,748,49.94761
132,754,2231,4,12,8,24,772,50.16369
133,750,2219,5,15,4,12,784,50.05573
134,750,2219,2,6,0,0,784,49.91511
135,748,2213,5,15,2,6,790,49.91511
136,746,2207,5,15,2,6,796,50.00841
137,744,2201,5,15,2,6,802,50.15275
138,738,2183,3,8,6,18,820,50.44939
139,734,2171,4,12,4,12,832,50.36698
140,728,2154,3,9,6,17,849,50.55256
141,725,2145,3,9,3,9,858,50.95617
142,725,2145,3,9,0,0,858,50.94023
143,721,2133,5,15,4,12,870,50.94023
144,719,2128,3,9,2,5,875,50.88207
145,715,2116,3,8,4,12,887,51.02045
146,711,2104,4,12,4,12,899,51.23264
147,710,2101,5,15,1,3,902,51.36736
148,705,2087,2,6,5,14,916,51.32848
149,704,2084,7,21,1,3,919,51.22298
150,704,2084,5,15,0,0,919,51.21082
151,702,2078,2,6,2,6,925,51.21082
152,693,2052,2,6,9,26,951,51.2659
153,692,2049,6,18,1,3,954,51.35221
154,690,2043,1,3,2,6,960,51.30553
155,688,2037,2,6,2,6,966,51.38205
156,685,2028,3,8,3,9,975,51.62674
157,684,2025,3,9,1,3,978,51.64571
158,677,2004,7,21,7,21,999,51.80794
159,672,1990,8,24,5,14,1013,51.8583
160,669,1981,1,3,3,9,1022,51.97777
161,665,1969,4,11,4,12,1034,52.05417
162,657,1945,1,3,8,24,1058,52.06713
163,655,1939,6,18,2,6,1064,52.30707
164,653,1933,4,12,2,6,1070,52.43004
165,648,1918,2,6,5,15,1085,52.49841
166,645,1909,0,0,3,9,1094,52.78704
167,644,1907,1,3,1,2,1096,52.71317
168,643,1904,2,6,1,3,1099,52.68465
169,639,1892,3,8,4,12,1111,52.63417
170,638,1889,2,6,1,3,1114,52.75347
171,636,1883,5,15,2,6,1120,52.712
172,628,1859,4,11,8,24,1144,52.8898
173,624,1847,5,15,4,12,1156,53.29472
174,616,1823,2,5,8,24,1180,53.36439
175,613,1814,3,9,3,9,1189,53.28332
176,611,1809,4,12,2,5,1194,53.31702
177,607,1797,2,6,4,12,1206,53.41001
178,603,1785,5,15,4,12,1218,53.4124
179,600,1776,3,9,3,9,1227,53.54502
180,599,1773,6,18,1,3,1230,53.46564
181,597,1767,5,15,2,6,1236,53.41916
182,590,1747,1,3,7,20,1256,53.5951
183,586,1735,1,3,4,12,1268,53.51021
184,581,1720,5,15,5,15,1283,53.6091
185,578,1711,4,11,3,9,1292,53.66013
186,575,1702,5,15,3,9,1301,53.72402
187,571,1690,3,9,4,12,1313,53.74813
188,567,1678,3,9,4,12,1325,53.74744
189,566,1675,2,6,1,3,1328,53.916
190,564,1669,5,15,2,6,1334,53.97124
191,560,1657,4,12,4,12,1346,53.91766
192,556,1646,3,9,4,11,1357,54.04359
193,554,1640,2,6,2,6,1363,53.97719
194,549,1625,1,3,5,15,1378,53.98964
195,546,1616,0,0,3,9,1387,54.15974
196,543,1607,4,12,3,9,1396,54.15789
197,542,1604,5,15,1,3,1399,54.17136
198,540,1598,2,6,2,6,1405,54.18378
199,532,1574,2,6,8,24,1429,54.17109
200,525,1553,2,6,7,21,1450,53.98854
201,520,1538,7,21,5,15,1465,54.20676
202,516,1526,1,3,4,12,1477,54.36348
203,512,1515,1,2,4,11,1488,54.36592
204,508,1503,1,3,4,12,1500,54.5199
205,508,1503,4,12,0,0,1500,54.55515
206,506,1497,4,12,2,6,1506,54.55515
207,503,1488,3,9,3,9,1515,54.54642
208,500,1479,1,3,3,9,1524,54.51466
209,496,1467,7,21,4,12,1536,54.46957
210,493,1458,3,9,3,9,1545,54.59365
211,492,1455,5,15,1,3,1548,54.62949
212,490,1449,5,14,2,6,1554,54.6246
213,485,1434,4,11,5,15,1569,54.70592
214,483,1429,4,12,2,5,1574,54.85448
215,478,1414,0,0,5,15,1589,54.80948
216,474,1402,3,9,4,12,1601,54.74063
217,467,1381,6,18,7,21,1622,54.75797
218,459,1359,4,11,8,22,1644,54.92298
219,455,1347,4,11,4,12,1656,55.02431
220,453,1341,5,15,2,6,1662,55.04657
221,447,1323,4,12,6,18,1680,55.08361
222,444,1314,6,18,3,9,1689,54.97505
223,433,1281,2,6,11,33,1722,54.98724
224,428,1266,7,20,5,15,1737,55.03865
225,424,1254,3,9,4,12,1749,55.08571
226,419,1239,6,18,5,15,1764,55.12764
227,415,1227,7,21,4,12,1776,55.12163
228,413,1221,1,3,2,6,1782,55.13769
229,407,1203,6,18,6,18,1800,55.18045
230,403,1191,0,0,4,12,1812,55.2162
231,399,1179,2,6,4,12,1824,55.28862
232,398,1176,1,2,1,3,1827,55.33598
233,396,1170,6,18,2,6,1833,55.30243
234,393,1161,3,9,3,9,1842,55.36472
235,389,1149,2,6,4,12,1854,55.32403
236,388,1146,5,15,1,3,1857,55.37732
237,384,1134,3,8,4,12,1869,55.4404
238,383,1131,1,2,1,3,1872,55.45454
239,380,1122,2,6,3,9,1881,55.44492
240,378,1116,1,3,2,6,1887,55.50159
241,377,1113,6,18,1,3,1890,55.49857
242,373,1101,5,15,4,12,1902,55.4651
243,371,1095,2,6,2,6,1908,55.50862
244,367,1083,6,18,4,12,1920,55.54536
245,364,1074,7,21,3,9,1929,55.5383
246,360,1062,1,3,4,12,1941,55.57424
247,358,1056,1,3,2,6,1947,55.64482
248,356,1050,4,12,2,6,1953,55.66144
249,352,1038,2,6,4,12,1965,55.72148
250,348,1027,2,6,4,11,1976,55.73409
251,342,1009,1,3,6,18,1994,55.67741
252,339,1000,1,3,3,9,2003,55.5787
253,337,995,3,9,2,5,2008,55.50417
254,332,981,5,15,5,14,2022,55.45321
255,328,969,1,3,4,12,2034,55.32976
256,327,966,4,12,1,3,2037,55.50254
257,322,951,5,15,5,15,2052,55.47473
258,320,945,4,12,2,6,2058,55.43199
259,316,933,2,6,4,12,2070,55.5196
260,311,918,3,9,5,15,2085,55.48308
261,305,900,5,15,6,18,2103,55.50748
262,302,891,7,21,3,9,2112,55.38663
263,299,882,6,18,3,9,2121,55.45716
264,294,867,5,15,5,15,2136,55.41225
265,290,856,5,15,4,11,2147,55.31742
266,284,838,1,3,6,18,2165,55.36148
267,284,838,3,9,0,0,2165,55.38827
268,281,829,3,9,3,9,2174,55.38827
269,276,815,2,6,5,14,2188,55.45058
270,274,809,2,5,2,6,2194,55.54935
271,269,797,2,6,5,12,2206,55.57593
272,266,788,2,6,3,9,2215,55.58777
273,262,777,2,6,4,11,2226,55.61692
274,260,771,5,14,2,6,2232,55.53841
275,257,762,6,18,3,9,2241,55.51789
276,253,751,1,3,4,11,2252,55.52929
277,249,739,2,6,4,12,2264,55.63945
278,248,736,3,9,1,3,2267,55.55958
279,244,724,2,6,4,12,2279,55.5314
280,241,715,1,3,3,9,2288,55.49489
281,239,709,3,9,2,6,2294,55.55292
282,236,700,4,11,3,9,2303,55.5072
283,234,694,3,9,2,6,2309,55.42442
284,233,691,3,9,1,3,2312,55.41282
285,229,679,2,6,4,12,2324,55.41861
286,226,670,1,3,3,9,2333,55.48971
287,224,664,2,6,2,6,2339,55.52494
288,221,655,2,6,3,9,2348,55.53939
289,218,646,6,16,3,9,2357,55.59274
290,214,634,1,3,4,12,2369,55.53001
291,211,625,7,20,3,9,2378,55.58894
292,208,616,1,3,3,9,2387,55.56603
293,201,595,3,9,7,21,2408,55.63834
294,201,595,4,12,0,0,2408,55.6504
295,198,586,3,9,3,9,2417,55.6504
296,190,562,0,0,8,24,2441,55.6445
297,187,553,2,6,3,9,2450,55.72735
298,187,553,4,12,0,0,2450,55.72525
299,184,544,5,15,3,9,2459,55.72525
300,180,532,2,6,4,12,2471,55.73233
301,177,523,0,0,3,9,2480,55.77393
302,173,511,0,0,4,12,2492,55.80483
303,173,511,0,0,0,0,2492,55.77022
304,169,499,0,0,4,12,2504,55.77022
305,166,490,0,0,3,9,2513,55.74242
306,163,481,0,0,3,9,2522,55.81355
307,160,472,0,0,3,9,2531,55.77664
308,155,457,0,0,5,15,2546,55.74274
309,151,446,0,0,4,11,2557,55.80659
310,151,446,0,0,0,0,2557,55.71468
311,151,446,0,0,0,0,2557,55.71468
312,147,434,0,0,4,12,2569,55.71468
313,146,431,0,0,1,3,2572,55.6758
314,143,422,0,0,3,9,2581,55.66718
315,135,398,0,0,8,24,2605,55.72484
316,132,389,0,0,3,9,2614,55.9026
317,127,374,0,0,5,15,2629,55.87989
318,126,371,0,0,1,3,2632,55.93206
319,121,356,0,0,5,15,2647,55.99164
320,118,347,0,0,3,9,2656,55.93237
321,114,335,0,0,4,12,2668,55.91577
322,114,335,0,0,0,0,2668,55.89869
323,109,320,0,0,5,15,2683,55.89869
324,104,306,0,0,5,14,2697,56.04062
325,102,300,0,0,2,6,2703,55.99465
326,98,288,0,0,4,12,2715,56.00597
327,94,276,0,0,4,12,2727,56.08484
328,88,259,0,0,6,17,2744,56.08957
329,85,250,0,0,3,9,2753,56.1138
330,84,247,0,0,1,3,2756,56.05248
331,81,239,0,0,3,8,2764,56.08361
332,80,236,0,0,1,3,2767,56.06088
333,78,230,0,0,2,6,2773,56.0377
334,76,224,0,0,2,6,2779,56.03532
335,75,221,0,0,1,3,2782,56.09484
336,72,212,0,0,3,9,2791,56.07896
337,69,203,0,0,3,9,2800,56.0516
338,68,200,0,0,1,3,2803,56.04419
339,62,182,0,0,6,18,2821,56.06938
340,60,176,0,0,2,6,2827,56.12859
341,56,165,0,0,4,11,2838,56.18648
342,55,162,0,0,1,3,2841,56.3608
343,55,162,0,0,0,0,2841,56.36344
344,53,157,0,0,2,5,2846,56.36344
345,48,143,0,0,5,14,2860,56.38746
346,46,137,0,0,2,6,2866,56.5514
347,44,131,0,0,2,6,2872,56.54487
348,44,131,0,0,0,0,2872,56.5705
349,43,128,0,0,1,3,2875,56.5705
350,42,125,0,0,1,3,2878,56.62259
351,40,119,0,0,2,6,2884,56.66822
352,37,110,0,0,3,9,2893,56.70888
353,37,110,0,0,0,0,2893,56.80286
354,37,110,0,0,0,0,2893,56.80286
355,36,107,0,0,1,3,2896,56.80286
356,36,107,0,0,0,0,2896,56.84515
357,35,104,0,0,1,3,2899,56.84515
358,33,98,0,0,2,6,2905,56.85688
359,31,92,0,0,2,6,2911,56.91719
360,29,86,0,0,2,6,2917,56.98386
361,27,80,0,0,2,6,2923,57.05212
362,25,74,0,0,2,6,2929,57.10673
363,25,74,0,0,0,0,2929,57.15517
364,25,74,0,0,0,0,2929,57.15517
365,23,68,0,0,2,6,2935,57.15517
366,22,65,0,0,1,3,2938,57.20961
367,21,62,0,0,1,3,2941,57.25156
368,18,53,0,0,3,9,2950,57.29078
369,18,53,0,0,0,0,2950,57.40656
370,16,47,0,0,2,6,2956,57.40656
371,16,47,0,0,0,0,2956,57.47218
372,16,47,0,0,0,0,2956,57.47218
373,16,47,0,0,0,0,2956,57.47218
374,14,42,0,0,2,5,2961,57.47218
375,13,39,0,0,1,3,2964,57.51878
376,13,39,0,0,0,0,2964,57.55249
377,11,33,0,0,2,6,2970,57.55249
378,11,33,0,0,0,0,2970,57.62185
379,9,27,0,0,2,6,2976,57.62185
380,7,21,0,0,2,6,2982,57.6911
381,7,21,0,0,0,0,2982,57.75931
382,7,21,0,0,0,0,2982,57.75931
383,7,21,0,0,0,0,2982,57.75931
384,7,21,0,0,0,0,2982,57.75931
385,6,18,0,0,1,3,2985,57.75931
386,5,15,0,0,1,3,2988,57.78905
387,4,12,0,0,1,3,2991,57.8287
388,4,12,0,0,0,0,2991,57.86985
389,3,9,0,0,1,3,2994,57.86985
390,3,9,0,0,0,0,2994,57.90658
391,3,9,0,0,0,0,2994,57.90658
392,2,6,0,0,1,3,2997,57.90658
393,2,6,0,0,0,0,2997,57.94643
394,2,6,0,0,0,0,2997,57.94643
395,2,6,0,0,0,0,2997,57.94643
396,2,6,0,0,0,0,2997,57.94643
397,2,6,0,0,0,0,2997,57.94643
398,2,6,0,0,0,0,2997,57.94643
399,1,3,0,0,1,3,3000,57.94643
400,1,3,0,0,0,0,3000,57.99371
401,1,3,0,0,0,0,3000,57.99371
402,1,3,0,0,0,0,3000,57.99371
403,1,3,0,0,0,0,3000,57.99371
404,1,3,0,0,0,0,3000,57.99371
405,1,3,0,0,0,0,3000,57.99371
406,0,0,0,0,1,3,3003,57.99371
