Time(s),Households left,People left,Households starting moving,People started moving,Households reached car,People reached car,Total cars activated,Avg. walking dist.
0,1014,4992,0,0,0,0,0,0
1,1014,4992,4,20,0,0,0,0
2,1014,4992,3,15,0,0,0,0
3,1014,4992,3,15,0,0,0,0
4,1014,4992,1,5,0,0,0,0
5,1014,4992,2,10,0,0,0,0
6,1014,4992,5,25,0,0,0,0
7,1014,4992,4,20,0,0,0,0
8,1014,4992,4,20,0,0,0,0
9,1014,4992,5,25,0,0,0,0
10,1014,4992,5,25,0,0,0,0
11,1014,4992,2,10,0,0,0,0
12,1014,4992,4,20,0,0,0,0
13,1014,4992,1,3,0,0,0,0
14,1014,4992,4,20,0,0,0,0
15,1014,4992,2,10,0,0,0,0
16,1014,4992,2,10,0,0,0,0
17,1014,4992,3,15,0,0,0,0
18,1014,4992,1,5,0,0,0,0
19,1014,4992,5,25,0,0,0,0
20,1014,4992,6,30,0,0,0,0
21,1014,4992,1,5,0,0,0,0
22,1014,4992,3,15,0,0,0,0
23,1014,4992,2,10,0,0,0,0
24,1014,4992,6,30,0,0,0,0
25,1014,4992,5,25,0,0,0,0
26,1014,4992,4,20,0,0,0,0
27,1014,4992,4,20,0,0,0,0
28,1014,4992,2,10,0,0,0,0
29,1014,4992,4,18,0,0,0,0
30,1014,4992,4,18,0,0,0,0
31,1014,4992,6,28,0,0,0,0
32,1014,4992,8,40,0,0,0,0
33,1014,4992,5,25,0,0,0,0
34,1014,4992,2,10,0,0,0,0
35,1014,4992,4,20,0,0,0,0
36,1013,4987,2,10,1,5,5,0
37,1012,4982,5,25,1,5,10,34.5821
38,1011,4977,2,10,1,5,15,35.01821
39,1009,4967,5,25,2,10,25,35.20334
40,1007,4957,2,10,2,10,35,36.3829
41,1006,4952,3,13,1,5,40,35.74874
42,1005,4947,3,15,1,5,45,35.56201
43,1003,4937,2,10,2,10,55,35.75376
44,1001,4927,3,13,2,10,65,35.79755
45,998,4912,2,10,3,15,80,35.55702
46,998,4912,2,10,0,0,80,35.56941
47,996,4902,4,20,2,10,90,35.56941
48,995,4897,1,5,1,5,95,35.79925
49,994,4892,4,20,1,5,100,35.71145
50,992,4882,3,15,2,10,110,35.64345
51,989,4867,1,5,3,15,125,36.32279
52,987,4857,2,10,2,10,135,37.16172
53,987,4857,6,30,0,0,135,37.09885
54,983,4839,3,15,4,18,153,37.09885
55,983,4839,4,20,0,0,153,37.08736
56,982,4834,6,30,1,5,158,37.08736
57,981,4829,4,20,1,5,163,37.23032
58,978,4814,1,5,3,15,178,37.17101
59,977,4809,5,25,1,5,183,37.01281
60,975,4799,1,5,2,10,193,37.05648
61,973,4789,2,10,2,10,203,36.91639
62,971,4779,5,25,2,10,213,36.88647
63,971,4779,3,15,0,0,213,37.26406
64,968,4768,2,10,3,11,224,37.26406
65,966,4758,2,10,2,10,234,37.52461
66,965,4753,3,15,1,5,239,37.75299
67,961,4733,5,25,4,20,259,37.68692
68,959,4725,2,10,2,8,267,38.36341
69,954,4700,3,15,5,25,292,38.28176
70,953,4695,4,20,1,5,297,38.4519
71,949,4675,5,25,4,20,317,38.5098
72,944,4650,3,13,5,25,342,39.06145
73,936,4610,2,10,8,40,382,39.07521
74,934,4600,3,13,2,10,392,39.46113
75,931,4585,6,30,3,15,407,39.3921
76,927,4565,4,18,4,20,427,39.88873
77,926,4560,3,15,1,5,432,40.33783
78,924,4550,2,10,2,10,442,40.69326
79,921,4537,2,10,3,13,455,40.84152
80,919,4527,3,15,2,10,465,40.85775
81,917,4517,2,10,2,10,475,41.20341
82,917,4517,2,10,0,0,475,41.21286
83,916,4512,3,15,1,5,480,41.21286
84,915,4507,4,20,1,5,485,41.22268
85,915,4507,6,30,0,0,485,41.43864
86,914,4502,4,20,1,5,490,41.43864
87,908,4472,2,10,6,30,520,41.81984
88,906,4462,3,15,2,10,530,42.25566
89,902,4442,1,5,4,20,550,42.21476
90,898,4422,4,20,4,20,570,42.08453
91,896,4412,4,20,2,10,580,42.44915
92,895,4407,1,5,1,5,585,42.77991
93,889,4377,2,10,6,30,615,42.71633
94,887,4367,7,33,2,10,625,43.30275
95,887,4367,3,15,0,0,625,43.46366
96,885,4357,2,10,2,10,635,43.46366
97,884,4352,5,25,1,5,640,43.81662
98,881,4337,3,15,3,15,655,43.84593
99,876,4312,3,15,5,25,680,43.86458
100,874,4302,1,5,2,10,690,44.25728
101,871,4287,6,30,3,15,705,44.28053
102,868,4272,2,10,3,15,720,44.48876
103,863,4247,7,35,5,25,745,45.07367
104,860,4232,6,30,3,15,760,45.02562
105,857,4217,3,15,3,15,775,45.01453
106,855,4207,4,20,2,10,785,45.13019
107,853,4197,2,10,2,10,795,45.63874
108,849,4177,5,25,4,20,815,46.33071
109,846,4162,6,28,3,15,830,47.12763
110,845,4157,2,8,1,5,835,47.20528
111,843,4147,0,0,2,10,845,47.35767
112,842,4142,3,15,1,5,850,47.64566
113,836,4112,5,25,6,30,880,47.80443
114,833,4097,3,15,3,15,895,47.74974
115,832,4092,2,10,1,5,900,47.75844
116,829,4077,4,20,3,15,915,47.78516
117,823,4047,3,15,6,30,945,47.92878
118,819,4027,3,13,4,20,965,48.85183
119,814,4002,2,10,5,25,990,49.10535
120,812,3992,1,5,2,10,1000,49.62612
121,809,3977,3,15,3,15,1015,49.47115
122,806,3962,6,30,3,15,1030,49.58877
123,805,3957,6,30,1,5,1035,49.50604
124,802,3944,5,25,3,13,1048,49.47897
125,800,3934,0,0,2,10,1058,49.68578
126,796,3914,4,20,4,20,1078,49.53962
127,793,3899,6,28,3,15,1093,49.87592
128,786,3866,3,15,7,33,1126,50.265
129,784,3856,3,15,2,10,1136,50.39544
130,781,3841,3,15,3,15,1151,50.50033
131,773,3801,2,10,8,40,1191,50.44849
132,769,3781,3,15,4,20,1211,51.03422
133,766,3766,2,10,3,15,1226,51.01863
134,762,3746,3,15,4,20,1246,51.2741
135,762,3746,2,10,0,0,1246,51.57526
136,757,3723,2,10,5,23,1269,51.57526
137,751,3693,2,10,6,30,1299,51.84547
138,746,3668,6,28,5,25,1324,51.8709
139,741,3643,4,20,5,25,1349,51.65234
140,739,3633,6,30,2,10,1359,51.71655
141,734,3608,2,10,5,25,1384,51.71614
142,732,3598,2,10,2,10,1394,51.7009
143,725,3563,3,15,7,35,1429,51.69912
144,722,3548,1,5,3,15,1444,51.59971
145,718,3530,4,20,4,18,1462,51.76976
146,715,3515,4,20,3,15,1477,51.67067
147,708,3480,4,20,7,35,1512,51.67309
148,706,3470,3,15,2,10,1522,51.61467
149,702,3450,3,15,4,20,1542,51.52327
150,700,3440,7,35,2,10,1552,51.51641
151,692,3400,1,5,8,40,1592,51.61324
152,690,3390,2,10,2,10,1602,51.94726
153,688,3380,5,25,2,10,1612,51.85595
154,686,3370,4,20,2,10,1622,52.01371
155,685,3365,4,20,1,5,1627,51.96649
156,680,3340,2,10,5,25,1652,51.91679
157,679,3335,3,15,1,5,1657,52.13218
158,675,3317,2,10,4,18,1675,52.09905
159,672,3304,6,28,3,13,1688,52.43755
160,663,3259,5,25,9,45,1733,52.49269
161,658,3234,1,5,5,25,1758,52.71363
162,656,3224,1,5,2,10,1768,52.71511
163,654,3214,1,5,2,10,1778,52.70088
164,653,3209,6,30,1,5,1783,52.87346
165,650,3194,0,0,3,15,1798,52.94567
166,646,3174,2,10,4,20,1818,52.99578
167,641,3149,7,35,5,25,1843,53.09911
168,639,3139,8,40,2,10,1853,52.99108
169,637,3129,4,20,2,10,1863,53.01109
170,634,3114,5,23,3,15,1878,53.01878
171,632,3104,5,25,2,10,1888,53.11256
172,629,3089,1,5,3,15,1903,53.28185
173,625,3071,3,15,4,18,1921,53.3186
174,619,3041,2,10,6,30,1951,53.36105
175,619,3041,3,15,0,0,1951,53.39103
176,616,3026,6,30,3,15,1966,53.39103
177,615,3021,4,20,1,5,1971,53.36635
178,611,3001,3,15,4,20,1991,53.31769
179,606,2976,2,10,5,25,2016,53.4207
180,602,2956,3,15,4,20,2036,53.62465
181,598,2936,0,0,4,20,2056,53.67152
182,596,2926,3,15,2,10,2066,53.7336
183,595,2921,8,38,1,5,2071,53.81158
184,592,2906,6,28,3,15,2086,53.78232
185,585,2873,3,15,7,33,2119,53.79131
186,581,2853,2,10,4,20,2139,53.66179
187,579,2843,3,15,2,10,2149,53.60669
188,577,2833,4,20,2,10,2159,53.70097
189,573,2813,4,20,4,20,2179,53.64529
190,570,2798,3,15,3,15,2194,53.80285
191,569,2793,3,15,1,5,2199,53.77758
192,566,2778,1,3,3,15,2214,53.73753
193,563,2763,3,15,3,15,2229,53.64559
194,558,2738,4,20,5,25,2254,53.54694
195,551,2703,4,20,7,35,2289,53.6558
196,548,2688,1,5,3,15,2304,53.55968
197,546,2678,4,20,2,10,2314,53.48282
198,543,2663,2,10,3,15,2329,53.49245
199,541,2653,3,13,2,10,2339,53.48182
200,541,2653,3,15,0,0,2339,53.44466
201,537,2633,3,15,4,20,2359,53.44466
202,534,2618,0,0,3,15,2374,53.5033
203,530,2598,3,13,4,20,2394,53.41311
204,527,2583,2,10,3,15,2409,53.39409
205,520,2548,6,28,7,35,2444,53.31681
206,516,2528,1,5,4,20,2464,53.44804
207,512,2510,5,25,4,18,2482,53.39603
208,509,2495,2,8,3,15,2497,53.42407
209,507,2485,7,35,2,10,2507,53.54424
210,498,2440,5,25,9,45,2552,53.50341
211,493,2415,7,31,5,25,2577,53.44548
212,488,2390,4,20,5,25,2602,53.39418
213,484,2370,2,8,4,20,2622,53.56009
214,480,2350,1,5,4,20,2642,53.53162
215,478,2340,5,25,2,10,2652,53.67356
216,474,2322,5,25,4,18,2670,53.6228
217,471,2309,4,20,3,13,2683,53.74734
218,466,2284,3,15,5,25,2708,53.86042
219,460,2254,6,30,6,30,2738,53.89754
220,456,2234,2,10,4,20,2758,53.80254
221,451,2209,2,10,5,25,2783,53.90684
222,451,2209,2,10,0,0,2783,54.13012
223,451,2209,7,33,0,0,2783,54.13012
224,446,2184,4,20,5,25,2808,54.13012
225,443,2169,5,25,3,15,2823,54.14203
226,443,2169,2,10,0,0,2823,54.13423
227,440,2154,3,15,3,15,2838,54.13423
228,436,2134,2,10,4,20,2858,54.09061
