Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Node 5, Node 5 flow
0,19,0,19,0, 52.53397,52.53397,5,0.03448276
1,0,0,19,0, 52.53397,52.53397,5,0.03448276
2,0,0,19,0, 52.53397,52.53397,5,0.03448276
3,0,0,19,0, 52.53397,52.53397,5,0.03448276
4,0,0,19,0, 52.53397,52.53397,5,0.03448276
5,0,0,19,0, 52.53397,52.53397,5,0.03448276
6,0,0,19,0, 52.53397,52.53397,5,0.03448276
7,0,0,19,0, 52.53397,52.53397,5,0.03448276
8,0,0,19,0, 52.53397,52.53397,5,0.03448276
9,0,0,19,0, 52.53397,52.53397,5,0.03448276
10,0,0,19,0, 52.53397,52.53397,5,0.03448276
11,0,0,19,0, 52.53397,52.53397,5,0.03448276
12,0,0,19,0, 52.53397,52.53397,5,0.03448276
13,0,0,19,0, 52.53397,52.53397,5,0.03448276
14,0,0,19,0, 52.53397,52.53397,5,0.03448276
15,0,0,19,0, 52.53397,52.53397,5,0.03448276
16,0,0,19,0, 52.53397,52.53397,5,0.03448276
17,0,0,19,0, 52.53397,52.53397,5,0.03448276
18,0,0,19,0, 52.53397,52.53397,5,0.03448276
19,0,0,19,0, 52.53397,52.53397,5,0.03448276
20,0,0,19,0, 52.53397,52.53397,5,0.03448276
21,0,0,19,0, 52.53397,52.53397,5,0.03448276
22,0,0,19,0, 52.53397,52.53397,5,0.03448276
23,0,0,19,0, 52.53397,52.53397,5,0.03448276
24,0,0,19,0, 52.53397,52.53397,5,0.03448276
25,0,0,19,0, 52.53397,52.53397,5,0.03448276
26,0,0,19,0, 52.53397,52.53397,5,0.03448276
27,0,0,19,0, 52.53397,52.53397,5,0.03448276
28,0,0,19,0, 52.53397,52.53397,5,0.03448276
29,0,0,19,0, 52.53397,52.53397,5,0.03448276
30,0,0,19,0, 52.53397,52.53397,5,0.03448276
31,0,0,19,0, 52.53397,52.53397,5,0.03448276
32,0,0,19,0, 52.53397,52.53397,5,0.03448276
33,0,0,19,0, 52.53397,52.53397,5,0.03448276
34,0,0,19,0, 52.53397,52.53397,5,0.03448276
35,0,0,19,0, 52.53397,52.53397,5,0.03448276
36,0,0,19,0, 52.53397,52.53397,5,0.03448276
37,0,0,19,0, 52.53397,52.53397,5,0.03448276
38,0,0,19,0, 52.53397,52.53397,5,0.03448276
39,0,0,19,0, 52.53397,52.53397,5,0.03448276
40,0,0,19,0, 52.53397,52.53397,5,0.03448276
41,0,0,19,0, 52.53397,52.53397,5,0.03448276
42,0,0,19,0, 52.53397,52.53397,5,0.03448276
43,0,0,19,0, 52.53397,52.53397,5,0.03448276
44,0,0,19,0, 52.53397,52.53397,5,0.03448276
45,0,0,19,0, 52.53397,52.53397,5,0.03448276
46,0,0,19,0, 52.53397,52.53397,5,0.03448276
47,0,0,19,0, 52.53397,52.53397,5,0.03448276
48,0,0,19,0, 52.53397,52.53397,5,0.03448276
49,0,0,19,0, 52.53397,52.53397,5,0.03448276
50,0,0,19,0, 52.53397,52.53397,5,0.03448276
51,0,0,19,0, 52.53397,52.53397,5,0.03448276
52,0,0,19,0, 52.53397,52.53397,5,0.03448276
53,0,0,19,0, 52.53397,52.53397,5,0.03448276
54,0,0,19,0, 52.53397,52.53397,5,0.03448276
55,0,0,19,0, 52.53397,52.53397,5,0.03448276
56,0,0,19,0, 52.53397,52.53397,5,0.03448276
57,0,0,19,0, 52.53397,52.53397,5,0.03448276
58,0,0,19,0, 52.53397,52.53397,5,0.03448276
59,0,0,19,0, 52.53397,52.53397,5,0.03448276
60,0,0,19,0, 52.53397,52.53397,5,0.03448276
61,0,0,19,0, 52.53397,52.53397,5,0.03448276
62,0,0,19,0, 52.53397,52.53397,5,0.03448276
63,0,0,19,0, 52.53397,52.53397,5,0.03448276
64,0,0,19,0, 52.53397,52.53397,5,0.03448276
65,0,0,19,0, 52.53397,52.53397,5,0.03448276
66,0,0,19,0, 52.53397,52.53397,5,0.03448276
67,0,0,19,0, 52.53397,52.53397,5,0.03448276
68,0,1,19,1, 52.53397,52.53397,6,1
69,0,1,18,1, 53.45324,53.45324,7,1
70,0,1,17,1, 54.3725,54.3725,8,1
71,0,1,16,1, 55.29177,55.29177,9,1
72,0,1,15,1, 56.21103,56.21103,10,1
73,0,1,14,1, 57.13029,57.13029,11,1
74,0,1,13,1, 58.04956,58.04956,12,1
75,0,1,12,1, 58.96883,58.96883,13,1
76,0,1,11,1, 59.88809,59.88809,14,1
77,0,1,10,1, 60.80735,60.80735,15,1
78,0,1,9,1, 61.72662,61.72662,16,1
79,0,1,8,1, 62.64588,62.64588,17,1
80,0,1,7,1, 63.56515,63.56515,18,1
81,0,1,6,1, 64.48441,64.48441,19,1
82,0,1,5,1, 65.40368,65.40368,20,1
83,0,1,4,1, 66.32294,66.32294,21,1
84,0,1,3,1, 67.2422,67.2422,22,1
85,0,1,2,1, 68.16147,68.16147,23,1
86,0,1,1,1, 69.08073,69.08073,24,0.6764706
