Time(s),Total cars injected, Total cars arrived,Current cars in system, Exiting people,Total Sumo cars injected,Total Sumo cars arrived
4131,909,885,24,2256,0,0
4132,909,885,24,2256,0,0
4133,909,885,24,2256,0,0
4134,909,885,24,2256,0,0
4135,909,885,24,2256,0,0
4136,909,885,24,2256,0,0
4137,909,885,24,2256,0,0
4138,909,885,24,2256,0,0
4139,909,885,24,2256,0,0
4140,909,885,24,2256,0,0
4141,909,885,24,2256,0,0
4142,909,885,24,2256,0,0
4143,909,885,24,2256,0,0
4144,909,885,24,2256,0,0
4145,909,885,24,2256,0,0
4146,909,885,24,2256,0,0
4147,909,885,24,2256,0,0
4148,909,885,24,2256,0,0
4149,909,885,24,2256,0,0
4150,909,885,24,2256,0,0
4151,909,885,24,2256,0,0
4152,910,885,25,2256,0,0
4153,910,885,25,2256,0,0
4154,910,886,24,2260,0,0
4155,911,886,25,2260,0,0
4156,911,886,25,2260,0,0
4157,912,886,26,2260,0,0
4158,912,886,26,2260,0,0
4159,912,886,26,2260,0,0
4160,912,886,26,2260,0,0
4161,912,886,26,2260,0,0
4162,912,886,26,2260,0,0
4163,912,886,26,2260,0,0
4164,912,886,26,2260,0,0
4165,912,886,26,2260,0,0
4166,912,886,26,2260,0,0
4167,912,886,26,2260,0,0
4168,912,886,26,2260,0,0
4169,912,886,26,2260,0,0
4170,912,886,26,2260,0,0
4171,912,886,26,2260,0,0
4172,912,886,26,2260,0,0
4173,912,886,26,2260,0,0
4174,912,886,26,2260,0,0
4175,912,886,26,2260,0,0
4176,912,886,26,2260,0,0
4177,912,886,26,2260,0,0
4178,912,886,26,2260,0,0
4179,912,886,26,2260,0,0
4180,912,886,26,2260,0,0
4181,912,886,26,2260,0,0
4182,912,886,26,2260,0,0
4183,912,886,26,2260,0,0
4184,912,886,26,2260,0,0
4185,912,886,26,2260,0,0
4186,912,886,26,2260,0,0
4187,912,886,26,2260,0,0
4188,912,886,26,2260,0,0
4189,913,886,27,2260,0,0
4190,913,886,27,2260,0,0
4191,913,886,27,2260,0,0
4192,913,886,27,2260,0,0
4193,913,886,27,2260,0,0
4194,913,886,27,2260,0,0
4195,913,886,27,2260,0,0
4196,913,886,27,2260,0,0
4197,913,886,27,2260,0,0
4198,913,886,27,2260,0,0
4199,913,886,27,2260,0,0
4200,913,886,27,2260,0,0
4201,913,886,27,2260,0,0
4202,913,886,27,2260,0,0
4203,913,886,27,2260,0,0
4204,913,886,27,2260,0,0
4205,913,886,27,2260,0,0
4206,913,886,27,2260,0,0
4207,913,886,27,2260,0,0
4208,913,886,27,2260,0,0
4209,913,886,27,2260,0,0
4210,913,886,27,2260,0,0
4211,913,886,27,2260,0,0
4212,913,886,27,2260,0,0
4213,913,886,27,2260,0,0
4214,914,886,28,2260,0,0
4215,914,886,28,2260,0,0
4216,914,886,28,2260,0,0
4217,914,886,28,2260,0,0
4218,914,886,28,2260,0,0
4219,914,886,28,2260,0,0
4220,914,886,28,2260,0,0
4221,914,886,28,2260,0,0
4222,914,886,28,2260,0,0
4223,914,886,28,2260,0,0
4224,914,886,28,2260,0,0
4225,914,886,28,2260,0,0
4226,914,886,28,2260,0,0
4227,915,886,29,2260,0,0
4228,915,887,28,2261,0,0
4229,915,887,28,2261,0,0
4230,915,887,28,2261,0,0
4231,915,887,28,2261,0,0
4232,915,887,28,2261,0,0
4233,915,887,28,2261,0,0
4234,915,887,28,2261,0,0
4235,915,887,28,2261,0,0
4236,915,887,28,2261,0,0
4237,915,887,28,2261,0,0
4238,915,887,28,2261,0,0
4239,915,887,28,2261,0,0
4240,916,887,29,2261,0,0
4241,916,887,29,2261,0,0
4242,916,887,29,2261,0,0
4243,916,887,29,2261,0,0
